date,machine_number,machine_name,games,diff,payout,day_baseline,edge,edge_vs_excluded,pool_size,universe_size
20260511,2036,モンキーターンV,4069,400,1.0327680838862947,-43.07692307692308,443.0769230769231,449.7067448680352,715,715
20260511,2037,モンキーターンV,1633,-900,0.8162890385793019,-43.07692307692308,-856.9230769230769,-850.2932551319648,715,715
20260511,2038,モンキーターンV,4178,800,1.06382639221318,-43.07692307692308,843.0769230769231,849.7067448680352,715,715
20260511,2039,モンキーターンV,4367,5500,1.4198152812762384,-43.07692307692308,5543.076923076923,5549.7067448680355,715,715
20260511,2040,モンキーターンV,3198,-2300,0.7602668334375652,-43.07692307692308,-2256.923076923077,-2250.293255131965,715,715
20260511,2041,モンキーターンV,1497,-600,0.8663994655978624,-43.07692307692308,-556.9230769230769,-550.2932551319648,715,715
20260511,2042,モンキーターンV,4183,2600,1.2071878237309746,-43.07692307692308,2643.076923076923,2649.706744868035,715,715
20260511,2043,モンキーターンV,1505,-1100,0.7563676633444075,-43.07692307692308,-1056.923076923077,-1050.2932551319648,715,715
20260511,2044,モンキーターンV,3907,100,1.0085316952478458,-43.07692307692308,143.0769230769231,149.70674486803517,715,715
20260511,2045,モンキーターンV,5047,1700,1.1122779208770888,-43.07692307692308,1743.076923076923,1749.7067448680352,715,715
20260511,2046,モンキーターンV,3168,5700,1.5997474747474747,-43.07692307692308,5743.076923076923,5749.7067448680355,715,715
20260511,2047,モンキーターンV,4570,-1700,0.8760029175784099,-43.07692307692308,-1656.923076923077,-1650.2932551319648,715,715
20260511,2048,モンキーターンV,4876,-2800,0.8085862729012852,-43.07692307692308,-2756.923076923077,-2750.293255131965,715,715
20260511,2049,モンキーターンV,3907,-1800,0.8464294855387765,-43.07692307692308,-1756.923076923077,-1750.2932551319648,715,715
20260511,2102,ソードアート・オンライン,2749,5500,1.6669091790954287,-43.07692307692308,5543.076923076923,5549.7067448680355,715,715
20260511,2103,ソードアート・オンライン,463,-200,0.8560115190784737,-43.07692307692308,-156.9230769230769,-150.29325513196483,715,715
20260511,2104,ソードアート・オンライン,3221,5200,1.538135154713857,-43.07692307692308,5243.076923076923,5249.7067448680355,715,715
20260511,2105,ソードアート・オンライン,2804,-3000,0.6433666191155493,-43.07692307692308,-2956.923076923077,-2950.293255131965,715,715
20260518,3031,革命機ヴァルヴレイヴ,936,-900,0.6794871794871795,73.2867132867133,-973.2867132867133,-973.4751773049645,715,715
20260518,3053,革命機ヴァルヴレイヴ,1689,-1600,0.6842313005723307,73.2867132867133,-1673.2867132867134,-1673.4751773049645,715,715
20260518,3054,革命機ヴァルヴレイヴ,4239,300,1.0235904694503422,73.2867132867133,226.71328671328672,226.52482269503548,715,715
20260518,3055,革命機ヴァルヴレイヴ,2072,6100,1.9813384813384813,73.2867132867133,6026.713286713287,6026.524822695035,715,715
20260518,3056,革命機ヴァルヴレイヴ,1165,-900,0.7424892703862661,73.2867132867133,-973.2867132867133,-973.4751773049645,715,715
20260518,3057,革命機ヴァルヴレイヴ,849,400,1.1570475068708284,73.2867132867133,326.7132867132867,326.5248226950355,715,715
20260518,3032,シャーマンキング,479,-200,0.8608211551844119,73.2867132867133,-273.2867132867133,-273.4751773049645,715,715
20260518,3033,シャーマンキング,791,-700,0.7050147492625368,73.2867132867133,-773.2867132867133,-773.4751773049645,715,715
