hall,axis,focus_value,offset_value,n_days,focus_mean_excess,offset_mean_excess,offset_gap,corr_excess,verdict
楽園,kakuban_bin,1991-2000,1181-1190,161,2120.272642802081,-23.428826191313295,2143.7014689933944,0.11423726818054211,offset_candidate
楽園,kakuban_bin,1991-2000,3241-3250,161,2120.272642802081,-22.71984216291932,2142.992484965,-0.024306727907455583,offset_candidate
楽園,kakuban_bin,1991-2000,3151-3160,161,2120.272642802081,-19.419502026864908,2139.692144828946,-0.15927335422422453,offset_candidate
楽園,kakuban_bin,1991-2000,2051-2060,161,2120.272642802081,-19.25015124307314,2139.522794045154,-0.07687606077560272,offset_candidate
楽園,kakuban_bin,1991-2000,2081-2090,161,2120.272642802081,-15.934919063244688,2136.2075618653257,0.1046614920593209,offset_candidate
楽園,kakuban_bin,1991-2000,1171-1180,161,2120.272642802081,-14.733706404268046,2135.006349206349,0.14023290097342064,offset_candidate
楽園,kakuban_bin,1991-2000,1111-1120,161,2120.272642802081,-10.037058469731912,2130.309701271813,0.0819122837925255,offset_candidate
楽園,kakuban_bin,1991-2000,2121-2130,161,2120.272642802081,-8.985261664053107,2129.2579044661343,0.03694453260741742,offset_candidate
楽園,kakuban_bin,1991-2000,2201-2210,161,2120.272642802081,-6.218797107215893,2126.491439909297,-0.10416600127036811,offset_candidate
楽園,kakuban_bin,1991-2000,2221-2230,161,2120.272642802081,6.725460015923209,2113.547182786158,-0.014512500505131028,no_offset
楽園,kakuban_bin,1991-2000,3161-3170,161,2120.272642802081,8.619448480874413,2111.6531943212067,-0.0519644222896646,no_offset
楽園,kakuban_bin,1991-2000,2171-2180,161,2120.272642802081,11.871319229173734,2108.401323572907,-0.10716495605544617,no_offset
楽園,kakuban_bin,1991-2000,1121-1130,161,2120.272642802081,12.00879088450253,2108.2638519175784,-0.026204921233887925,no_offset
楽園,kakuban_bin,1991-2000,2011-2020,160,2120.272642802081,18.481101945255553,2101.7915408568256,0.13271984727405248,no_offset
楽園,kakuban_bin,1991-2000,3201-3210,160,2120.272642802081,24.784252866128064,2095.488389935953,0.2522781482489121,no_offset
楽園,kakuban_bin,1991-2000,3181-3190,161,2120.272642802081,28.378858911713415,2091.8937838903676,-0.015780271210735348,no_offset
楽園,kakuban_bin,1991-2000,991-1000,158,2120.272642802081,28.398373052258442,2091.8742697498224,-0.008380863839107388,no_offset
