hall,machine_name,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate,baseline_hit104_rate,baseline_plus_rate
レイトギャップ,ジャグラーガールズ,day_of_week,hit104,木,3,256,53.8046875,43.359375,24.21875,24.91,43.04
レイトギャップ,ジャグラーガールズ,day_of_week,hit104,金,4,263,-109.60076045627376,38.78326996197718,19.39163498098859,24.91,43.04
レイトギャップ,ジャグラーガールズ,day_of_week,hit104,土,5,268,52.97761194029851,43.656716417910445,25.37313432835821,24.91,43.04
レイトギャップ,ジャグラーガールズ,day_of_week,hit104,日,6,268,100.29850746268657,45.149253731343286,25.37313432835821,24.91,43.04
レイトギャップ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,月,0,75,-100.85333333333334,33.33333333333333,22.666666666666664,25.69,36.27
レイトギャップ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,火,1,74,-27.93243243243243,44.5945945945946,29.72972972972973,25.69,36.27
レイトギャップ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,水,2,73,-326.6164383561644,32.87671232876712,24.65753424657534,25.69,36.27
レイトギャップ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,木,3,66,-236.34848484848484,27.27272727272727,21.21212121212121,25.69,36.27
レイトギャップ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,金,4,71,-99.22535211267606,39.436619718309856,29.577464788732392,25.69,36.27
レイトギャップ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,土,5,75,-83.4,41.333333333333336,28.000000000000004,25.69,36.27
レイトギャップ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,日,6,76,-107.38157894736842,34.21052631578947,23.684210526315788,25.69,36.27
ARROW,甲鉄城のカバネリ,day_of_week,hit104,月,0,100,192.88,47.0,40.0,35.07,45.47
ARROW,甲鉄城のカバネリ,day_of_week,hit104,火,1,105,-219.43809523809523,40.0,32.38095238095238,35.07,45.47
ARROW,甲鉄城のカバネリ,day_of_week,hit104,水,2,110,152.93636363636364,48.18181818181818,34.54545454545455,35.07,45.47
ARROW,甲鉄城のカバネリ,day_of_week,hit104,木,3,108,-209.4537037037037,37.03703703703704,28.703703703703702,35.07,45.47
ARROW,甲鉄城のカバネリ,day_of_week,hit104,金,4,109,128.87155963302752,50.45871559633027,43.11926605504588,35.07,45.47
ARROW,甲鉄城のカバネリ,day_of_week,hit104,土,5,110,298.2909090909091,51.81818181818182,35.45454545454545,35.07,45.47
ARROW,甲鉄城のカバネリ,day_of_week,hit104,日,6,108,6.083333333333333,43.51851851851852,31.48148148148148,35.07,45.47
ARROW,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,月,0,146,158.91780821917808,45.89041095890411,31.506849315068493,29.08,40.16
ARROW,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,火,1,122,-104.6311475409836,36.885245901639344,26.229508196721312,29.08,40.16
ARROW,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,水,2,128,-48.0546875,37.5,25.78125,29.08,40.16
ARROW,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,木,3,128,331.890625,46.09375,34.375,29.08,40.16
ARROW,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,金,4,128,-570.078125,33.59375,25.0,29.08,40.16
ARROW,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,土,5,128,174.15625,41.40625,32.8125,29.08,40.16
ARROW,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,日,6,114,-330.89473684210526,38.59649122807017,27.192982456140353,29.08,40.16
ARROW,ジャグラーガールズ,day_of_week,hit104,月,0,77,-53.51948051948052,46.75324675324675,24.675324675324674,25.51,43.39
ARROW,ジャグラーガールズ,day_of_week,hit104,火,1,76,-107.4342105263158,42.10526315789473,23.684210526315788,25.51,43.39
ARROW,ジャグラーガールズ,day_of_week,hit104,水,2,77,125.0909090909091,40.25974025974026,33.76623376623377,25.51,43.39
ARROW,ジャグラーガールズ,day_of_week,hit104,木,3,77,-135.97402597402598,41.55844155844156,15.584415584415584,25.51,43.39
ARROW,ジャグラーガールズ,day_of_week,hit104,金,4,77,93.1948051948052,46.75324675324675,32.467532467532465,25.51,43.39
ARROW,ジャグラーガールズ,day_of_week,hit104,土,5,77,-69.71428571428571,41.55844155844156,23.376623376623375,25.51,43.39
ARROW,ジャグラーガールズ,day_of_week,hit104,日,6,76,-17.710526315789473,44.73684210526316,25.0,25.51,43.39
ARROW,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,月,0,85,-143.87058823529412,34.11764705882353,24.705882352941178,26.95,37.18
ARROW,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,火,1,85,125.24705882352941,41.17647058823529,27.058823529411764,26.95,37.18
ARROW,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,水,2,90,-12.033333333333333,40.0,31.11111111111111,26.95,37.18
ARROW,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,木,3,87,-231.19540229885058,34.48275862068966,24.137931034482758,26.95,37.18
ARROW,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,金,4,89,-112.26966292134831,31.46067415730337,24.719101123595504,26.95,37.18
ARROW,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,土,5,90,113.64444444444445,45.55555555555556,32.22222222222222,26.95,37.18
ARROW,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,日,6,90,-92.21111111111111,33.33333333333333,24.444444444444443,26.95,37.18
ヒロキ,甲鉄城のカバネリ,day_of_week,hit104,月,0,232,-107.65086206896552,36.637931034482754,29.74137931034483,33.31,40.17
ヒロキ,甲鉄城のカバネリ,day_of_week,hit104,火,1,193,-116.43523316062176,35.233160621761655,31.606217616580313,33.31,40.17
ヒロキ,甲鉄城のカバネリ,day_of_week,hit104,水,2,197,-59.888324873096444,40.10152284263959,34.01015228426396,33.31,40.17
ヒロキ,甲鉄城のカバネリ,day_of_week,hit104,木,3,208,97.35576923076923,38.94230769230769,35.57692307692308,33.31,40.17
ヒロキ,甲鉄城のカバネリ,day_of_week,hit104,金,4,221,-46.30769230769231,39.81900452488688,32.57918552036199,33.31,40.17
ヒロキ,甲鉄城のカバネリ,day_of_week,hit104,土,5,290,-41.69655172413793,41.37931034482759,32.758620689655174,33.31,40.17
ヒロキ,甲鉄城のカバネリ,day_of_week,hit104,日,6,277,131.4043321299639,46.57039711191336,36.462093862815884,33.31,40.17
ヒロキ,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,月,0,64,-101.71875,35.9375,28.125,30.79,38.65
ヒロキ,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,火,1,64,-541.671875,32.8125,26.5625,30.79,38.65
ヒロキ,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,水,2,64,-4.0,39.0625,34.375,30.79,38.65
ヒロキ,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,木,3,63,-92.60317460317461,42.857142857142854,28.57142857142857,30.79,38.65
ヒロキ,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,金,4,60,-678.7,28.333333333333332,21.666666666666668,30.79,38.65
ヒロキ,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,土,5,65,-24.523076923076925,41.53846153846154,35.38461538461539,30.79,38.65
ヒロキ,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,日,6,65,647.9846153846154,49.23076923076923,40.0,30.79,38.65
ヒロキ,ジャグラーガールズ,day_of_week,hit104,月,0,199,-123.23115577889448,30.65326633165829,20.603015075376884,22.28,36.89
