window_end,mean,n_obs,metric,window_days
2026-03-22,92.07638888888889,90,edge_vs_excluded,90
2026-03-29,91.2199074074074,90,edge_vs_excluded,90
2026-04-05,69.0300925925926,90,edge_vs_excluded,90
2026-04-12,82.30555555555556,90,edge_vs_excluded,90
2026-04-19,101.95138888888889,90,edge_vs_excluded,90
2026-04-26,99.34953703703704,90,edge_vs_excluded,90
2026-05-03,107.10185185185186,90,edge_vs_excluded,90
2026-05-10,97.47916666666664,90,edge_vs_excluded,90
2026-05-17,112.08333333333333,90,edge_vs_excluded,90
2026-05-24,121.95370370370372,90,edge_vs_excluded,90
2026-05-31,122.63425925925928,90,edge_vs_excluded,90
2026-06-07,109.17134831460676,89,edge_vs_excluded,90
2026-06-14,141.796875,88,edge_vs_excluded,90
2026-06-21,161.27367424242422,88,edge_vs_excluded,90
2026-06-28,190.9943181818182,88,edge_vs_excluded,90
2026-07-05,224.0743371212121,88,edge_vs_excluded,90
2026-07-12,237.74641274134177,87,edge_vs_excluded,90
2026-07-19,215.45141236571263,87,edge_vs_excluded,90
