index,segment,avg_diff,avg_diff_other,win_rate,payout_rate,avg_diff_vs_other,hit@10,lift@10,hit@20,lift@20,hit@50,lift@50,hit_t2500,lift_t2500,hit_t3500,lift_t3500,hit_t4500,lift_t4500,test_date,variant,window,event_type
0,2F_L_N,98.0,192.62048192771084,32.0,99.12234705169489,-94.62048192771084,1.0,1.4280000000000002,2.0,1.4280000000000002,5.0,1.428,7.0,1.1359090909090908,5.0,1.2526315789473683,4.0,1.632,2025-10-28,v9b_blend_05,90,non_event
1,2F_R_N,-188.0,214.15662650602408,34.0,96.67710802605808,-402.15662650602405,0.0,0.0,0.0,0.0,1.0,0.2856,5.0,0.8113636363636363,2.0,0.5010526315789474,1.0,0.408,2025-10-28,v9b_blend_05,90,non_event
2,3F_L_A,422.0,168.22289156626505,44.0,99.06120597694827,253.77710843373495,0.0,0.0,0.0,0.0,1.0,0.2856,7.0,1.1359090909090908,2.0,0.5010526315789474,1.0,0.408,2025-10-28,v9b_blend_05,90,non_event
3,3F_L_N,612.0,153.9156626506024,44.0,101.39393614273277,458.08433734939763,3.0,4.284000000000001,4.0,2.8560000000000003,5.0,1.428,7.0,1.1359090909090908,6.0,1.503157894736842,4.0,1.632,2025-10-28,v9b_blend_05,90,non_event
4,3F_R_A,208.0,184.33734939759037,38.0,98.12648542301909,23.662650602409627,0.0,0.0,0.0,0.0,1.0,0.2856,4.0,0.649090909090909,1.0,0.2505263157894737,0.0,0.0,2025-10-28,v9b_blend_05,90,non_event
5,3F_R_N,792.0,140.36144578313252,34.0,106.7535530647908,651.6385542168675,3.0,4.284000000000001,6.0,4.284000000000001,7.0,1.9992,8.0,1.298181818181818,7.0,1.7536842105263157,7.0,2.856,2025-10-28,v9b_blend_05,90,non_event
0,2F_L_N,2.0,199.84939759036143,30.0,97.66405151550265,-197.84939759036143,1.0,1.4280000000000002,2.0,1.4280000000000002,5.0,1.428,7.0,1.1359090909090908,5.0,1.2526315789473683,4.0,1.632,2025-10-28,v9c_percentile,90,non_event
1,2F_R_N,-188.0,214.15662650602408,34.0,96.67710802605806,-402.15662650602405,0.0,0.0,0.0,0.0,1.0,0.2856,5.0,0.8113636363636363,2.0,0.5010526315789474,1.0,0.408,2025-10-28,v9c_percentile,90,non_event
2,3F_L_A,422.0,168.22289156626505,44.0,99.06120597694826,253.77710843373495,0.0,0.0,0.0,0.0,1.0,0.2856,7.0,1.1359090909090908,2.0,0.5010526315789474,1.0,0.408,2025-10-28,v9c_percentile,90,non_event
3,3F_L_N,618.0,153.46385542168676,44.0,101.0833184186153,464.53614457831327,3.0,4.284000000000001,4.0,2.8560000000000003,5.0,1.428,7.0,1.1359090909090908,6.0,1.503157894736842,4.0,1.632,2025-10-28,v9c_percentile,90,non_event
4,3F_R_A,208.0,184.33734939759037,38.0,98.12648542301908,23.662650602409627,0.0,0.0,0.0,0.0,1.0,0.2856,4.0,0.649090909090909,1.0,0.2505263157894737,0.0,0.0,2025-10-28,v9c_percentile,90,non_event
5,3F_R_N,792.0,140.36144578313252,34.0,106.75355306479081,651.6385542168675,3.0,4.284000000000001,6.0,4.284000000000001,7.0,1.9992,8.0,1.298181818181818,7.0,1.7536842105263157,7.0,2.856,2025-10-28,v9c_percentile,90,non_event
0,2F_L_N,154.0,179.96987951807228,34.0,100.7107119234288,-25.969879518072275,2.0,2.8560000000000003,3.0,2.1420000000000003,5.0,1.428,5.0,0.8707317073170732,5.0,1.2101694915254235,4.0,1.298181818181818,2025-10-29,v6a_hit_an,90,non_event
1,2F_R_N,-14.0,192.62048192771084,28.000000000000004,97.6265601547646,-206.62048192771084,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,5.0,0.8707317073170732,4.0,0.9681355932203389,3.0,0.9736363636363636,2025-10-29,v6a_hit_an,90,non_event
2,3F_L_A,182.0,177.86144578313252,46.0,98.90474550779574,4.138554216867476,0.0,0.0,0.0,0.0,3.0,0.8568,3.0,0.5224390243902439,3.0,0.7261016949152541,3.0,0.9736363636363636,2025-10-29,v6a_hit_an,90,non_event
3,3F_L_N,-52.0,195.48192771084337,40.0,94.67972606084999,-247.48192771084337,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.393170731707317,1.0,0.24203389830508473,0.0,0.0,2025-10-29,v6a_hit_an,90,non_event
4,3F_R_A,228.0,174.3975903614458,52.0,98.33713031083205,53.60240963855421,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17414634146341462,0.0,0.0,0.0,0.0,2025-10-29,v6a_hit_an,90,non_event
5,3F_R_N,270.0,171.23493975903614,46.0,102.31123999935197,98.76506024096386,2.0,2.8560000000000003,2.0,1.4280000000000002,5.0,1.428,8.0,1.393170731707317,5.0,1.2101694915254235,3.0,0.9736363636363636,2025-10-29,v6a_hit_an,90,non_event
0,2F_L_N,154.0,179.96987951807228,34.0,100.71071192342883,-25.969879518072275,2.0,2.8560000000000003,3.0,2.1420000000000003,5.0,1.428,5.0,0.8707317073170732,5.0,1.2101694915254235,4.0,1.298181818181818,2025-10-29,v9b_blend_05,90,non_event
1,2F_R_N,30.0,189.30722891566265,30.0,97.86661250060483,-159.30722891566265,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,5.0,0.8707317073170732,4.0,0.9681355932203389,3.0,0.9736363636363636,2025-10-29,v9b_blend_05,90,non_event
2,3F_L_A,210.0,175.75301204819277,48.0,99.09174289639881,34.24698795180723,0.0,0.0,0.0,0.0,3.0,0.8568,3.0,0.5224390243902439,3.0,0.7261016949152541,3.0,0.9736363636363636,2025-10-29,v9b_blend_05,90,non_event
3,3F_L_N,-52.0,195.48192771084337,40.0,94.67972606084999,-247.48192771084337,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.393170731707317,1.0,0.24203389830508473,0.0,0.0,2025-10-29,v9b_blend_05,90,non_event
4,3F_R_A,216.0,175.3012048192771,50.0,98.24778280640255,40.6987951807229,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17414634146341462,0.0,0.0,0.0,0.0,2025-10-29,v9b_blend_05,90,non_event
5,3F_R_N,246.0,173.0421686746988,46.0,102.58606931168477,72.95783132530121,2.0,2.8560000000000003,2.0,1.4280000000000002,5.0,1.428,7.0,1.2190243902439024,5.0,1.2101694915254235,3.0,0.9736363636363636,2025-10-29,v9b_blend_05,90,non_event
0,2F_L_N,154.0,179.96987951807228,34.0,100.7107119234288,-25.969879518072275,2.0,2.8560000000000003,3.0,2.1420000000000003,5.0,1.428,5.0,0.8707317073170732,5.0,1.2101694915254235,4.0,1.298181818181818,2025-10-29,v9c_percentile,90,non_event
1,2F_R_N,30.0,189.30722891566265,30.0,97.8666125006048,-159.30722891566265,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,5.0,0.8707317073170732,4.0,0.9681355932203389,3.0,0.9736363636363636,2025-10-29,v9c_percentile,90,non_event
2,3F_L_A,210.0,175.75301204819277,48.0,99.09174289639881,34.24698795180723,0.0,0.0,0.0,0.0,3.0,0.8568,3.0,0.5224390243902439,3.0,0.7261016949152541,3.0,0.9736363636363636,2025-10-29,v9c_percentile,90,non_event
3,3F_L_N,-2.0,191.71686746987953,38.0,94.71355321751322,-193.71686746987953,0.0,0.0,0.0,0.0,1.0,0.2856,9.0,1.5673170731707318,2.0,0.48406779661016947,1.0,0.3245454545454545,2025-10-29,v9c_percentile,90,non_event
4,3F_R_A,220.0,175.0,50.0,98.13682820063408,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17414634146341462,0.0,0.0,0.0,0.0,2025-10-29,v9c_percentile,90,non_event
5,3F_R_N,-280.0,212.65060240963857,38.0,101.18256724952235,-492.65060240963857,1.0,1.4280000000000002,2.0,1.4280000000000002,3.0,0.8568,4.0,0.6965853658536585,3.0,0.7261016949152541,2.0,0.649090909090909,2025-10-29,v9c_percentile,90,non_event
0,2F_L_N,962.0,550.7530120481928,54.0,106.61762254288762,411.2469879518072,0.0,0.0,0.0,0.0,3.0,0.8568,16.0,1.5437837837837838,9.0,1.298181818181818,4.0,0.9066666666666666,2025-10-30,v6a_hit_an,90,non_event
1,2F_R_N,266.0,603.1626506024096,38.0,101.8350581289905,-337.1626506024096,2.0,2.8560000000000003,3.0,2.1420000000000003,3.0,0.8568,5.0,0.4824324324324324,5.0,0.7212121212121212,4.0,0.9066666666666666,2025-10-30,v6a_hit_an,90,non_event
2,3F_L_A,582.0,579.3674698795181,50.0,100.28488992277757,2.6325301204818743,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.6754054054054054,5.0,0.7212121212121212,0.0,0.0,2025-10-30,v6a_hit_an,90,non_event
3,3F_L_N,462.0,588.4036144578313,40.0,102.48061712490995,-126.40361445783128,2.0,2.8560000000000003,2.0,1.4280000000000002,2.0,0.5712,9.0,0.8683783783783784,4.0,0.5769696969696969,4.0,0.9066666666666666,2025-10-30,v6a_hit_an,90,non_event
4,3F_R_A,156.0,611.4457831325301,40.0,97.56032427276492,-455.4457831325301,0.0,0.0,0.0,0.0,1.0,0.2856,4.0,0.38594594594594595,1.0,0.14424242424242423,1.0,0.22666666666666666,2025-10-30,v6a_hit_an,90,non_event
5,3F_R_N,-206.0,638.7048192771084,38.0,96.15377881905742,-844.7048192771084,0.0,0.0,1.0,0.7140000000000001,3.0,0.8568,10.0,0.9648648648648648,7.0,1.0096969696969698,4.0,0.9066666666666666,2025-10-30,v6a_hit_an,90,non_event
0,2F_L_N,962.0,550.7530120481928,54.0,106.61762254288762,411.2469879518072,0.0,0.0,0.0,0.0,3.0,0.8568,16.0,1.5437837837837838,9.0,1.298181818181818,4.0,0.9066666666666666,2025-10-30,v9b_blend_05,90,non_event
1,2F_R_N,296.0,600.9036144578313,38.0,100.08418542458801,-304.9036144578313,2.0,2.8560000000000003,2.0,1.4280000000000002,3.0,0.8568,6.0,0.5789189189189189,6.0,0.8654545454545455,5.0,1.1333333333333333,2025-10-30,v9b_blend_05,90,non_event
2,3F_L_A,536.0,582.8313253012049,48.0,100.0073845401349,-46.831325301204856,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.6754054054054054,5.0,0.7212121212121212,0.0,0.0,2025-10-30,v9b_blend_05,90,non_event
3,3F_L_N,462.0,588.4036144578313,40.0,102.48061712490997,-126.40361445783128,2.0,2.8560000000000003,2.0,1.4280000000000002,2.0,0.5712,9.0,0.8683783783783784,4.0,0.5769696969696969,4.0,0.9066666666666666,2025-10-30,v9b_blend_05,90,non_event
