hall,granularity,group_value,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田7,kakuban,15,dd,plus,20,20,270,-279.6296296296296,35.92592592592593,28.14814814814815
蒲田7,kakuban,15,dd,plus,21,21,272,31.61764705882353,38.970588235294116,30.514705882352942
蒲田7,kakuban,15,dd,plus,22,22,274,137.95620437956205,41.24087591240876,29.56204379562044
蒲田7,kakuban,15,dd,plus,23,23,271,205.9040590405904,40.959409594095945,32.10332103321033
蒲田7,kakuban,15,dd,plus,24,24,269,399.25650557620816,42.75092936802974,35.31598513011153
蒲田7,kakuban,15,dd,plus,25,25,269,-96.28252788104089,36.80297397769517,31.226765799256505
蒲田7,kakuban,15,dd,plus,26,26,267,-118.35205992509363,35.2059925093633,28.46441947565543
蒲田7,kakuban,15,dd,plus,27,27,274,-35.4014598540146,40.51094890510949,31.386861313868614
蒲田7,kakuban,15,dd,plus,28,28,273,-159.34065934065933,36.26373626373626,27.106227106227106
蒲田7,kakuban,15,dd,plus,29,29,248,-65.3225806451613,36.693548387096776,27.016129032258064
蒲田7,kakuban,15,dd,plus,30,30,250,766.8,54.0,46.0
蒲田7,kakuban,15,dd,plus,31,31,138,12.318840579710145,34.78260869565217,27.536231884057973
蒲田7,kakuban,13,is_x_day,plus,0,0,7965,158.4180790960452,39.08349026993095,30.583804143126176
蒲田7,kakuban,13,is_x_day,plus,1,1,3640,273.2142857142857,44.395604395604394,34.23076923076923
蒲田7,kakuban,18,dd_bin,hit104,1-7,0,238,162.60504201680672,42.016806722689076,32.35294117647059
蒲田7,kakuban,18,dd_bin,hit104,8-14,1,240,-27.083333333333332,40.416666666666664,30.416666666666664
蒲田7,kakuban,18,dd_bin,hit104,15-21,2,250,461.2,49.2,37.2
蒲田7,kakuban,18,dd_bin,hit104,22-28,3,248,195.16129032258064,41.12903225806452,28.62903225806452
蒲田7,kakuban,18,dd_bin,hit104,29-31,4,84,54.76190476190476,39.285714285714285,25.0
蒲田7,kakuban,1,dd,plus,1,1,634,-11.041009463722398,41.16719242902208,31.230283911671926
蒲田7,kakuban,1,dd,plus,2,2,629,295.54848966613673,43.56120826709062,34.97615262321145
蒲田7,kakuban,1,dd,plus,3,3,580,97.06896551724138,41.724137931034484,32.758620689655174
蒲田7,kakuban,1,dd,plus,4,4,574,23.170731707317074,39.198606271777,30.66202090592334
蒲田7,kakuban,1,dd,plus,5,5,578,-18.5121107266436,39.10034602076124,29.411764705882355
