hall,granularity,group_value,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田1,section,2236-2255,dd,plus,29,29,295,-170.16949152542372,32.54237288135593,19.322033898305087
蒲田1,section,2236-2255,dd,plus,30,30,299,736.4548494983278,57.52508361204013,39.79933110367893
蒲田1,section,2236-2255,dd,plus,31,31,178,248.31460674157304,46.06741573033708,31.46067415730337
蒲田1,section,2099-2109,is_x_day,plus,0,0,3930,47.17557251908397,37.32824427480916,31.52671755725191
蒲田1,section,2099-2109,is_x_day,plus,1,1,1676,330.01193317422434,45.82338902147971,38.245823389021474
蒲田1,section,1631-1633,dd,plus,1,1,44,-2.272727272727273,29.545454545454547,29.545454545454547
蒲田1,section,1631-1633,dd,plus,2,2,39,376.9230769230769,46.15384615384615,38.46153846153847
蒲田1,section,1631-1633,dd,plus,3,3,38,397.36842105263156,55.26315789473685,47.368421052631575
蒲田1,section,1631-1633,dd,plus,4,4,36,288.8888888888889,47.22222222222222,38.88888888888889
蒲田1,section,1631-1633,dd,plus,5,5,32,-90.625,31.25,31.25
蒲田1,section,1631-1633,dd,plus,6,6,33,63.63636363636363,42.42424242424242,36.36363636363637
蒲田1,section,1631-1633,dd,plus,7,7,49,97.95918367346938,40.816326530612244,34.69387755102041
蒲田1,section,1631-1633,dd,plus,8,8,32,-221.875,28.125,25.0
蒲田1,section,1631-1633,dd,plus,9,9,37,121.62162162162163,40.54054054054054,35.13513513513514
蒲田1,section,1631-1633,dd,plus,10,10,38,-223.68421052631578,36.84210526315789,23.684210526315788
蒲田1,section,1631-1633,dd,plus,11,11,43,472.09302325581393,44.18604651162791,37.2093023255814
蒲田1,section,1631-1633,dd,plus,12,12,22,400.0,40.909090909090914,40.909090909090914
蒲田1,section,1631-1633,dd,plus,13,13,37,448.64864864864865,40.54054054054054,37.83783783783784
蒲田1,section,1631-1633,dd,plus,14,14,33,-3.0303030303030303,27.27272727272727,27.27272727272727
蒲田1,section,1631-1633,dd,plus,15,15,31,196.7741935483871,41.935483870967744,35.483870967741936
蒲田1,section,1631-1633,dd,plus,16,16,29,-100.0,37.93103448275862,34.48275862068966
蒲田1,section,1631-1633,dd,plus,17,17,40,65.0,35.0,27.500000000000004
蒲田1,section,1631-1633,dd,plus,18,18,28,107.14285714285714,39.285714285714285,35.714285714285715
蒲田1,section,1631-1633,dd,plus,19,19,27,0.0,40.74074074074074,33.33333333333333
蒲田1,section,1631-1633,dd,plus,20,20,30,-180.0,36.666666666666664,33.33333333333333
蒲田1,section,1631-1633,dd,plus,21,21,33,-142.42424242424244,36.36363636363637,33.33333333333333
蒲田1,section,1631-1633,dd,plus,22,22,34,594.1176470588235,61.76470588235294,50.0
蒲田1,section,1631-1633,dd,plus,23,23,37,-248.64864864864865,29.72972972972973,24.324324324324326
蒲田1,section,1631-1633,dd,plus,24,24,21,519.047619047619,47.61904761904761,47.61904761904761
蒲田1,section,1631-1633,dd,plus,25,25,26,465.38461538461536,46.15384615384615,42.30769230769231
蒲田1,section,1631-1633,dd,plus,26,26,25,324.0,36.0,28.000000000000004
蒲田1,section,1631-1633,dd,plus,27,27,42,-500.0,16.666666666666664,11.904761904761903
蒲田1,section,1631-1633,dd,plus,28,28,33,130.3030303030303,42.42424242424242,36.36363636363637
蒲田1,section,1631-1633,dd,plus,29,29,23,-386.95652173913044,26.08695652173913,26.08695652173913
蒲田1,section,1631-1633,dd,plus,30,30,36,86.11111111111111,36.11111111111111,36.11111111111111
蒲田1,section,1631-1633,dd,plus,31,31,15,700.0,53.333333333333336,40.0
蒲田1,section,2143-2146,is_x_day,hit104,0,0,1296,-116.43518518518519,31.25,26.38888888888889
蒲田1,section,2143-2146,is_x_day,hit104,1,1,603,218.07628524046436,38.80597014925373,33.66500829187397
蒲田1,section,2060-2076,is_x_day,plus,0,0,6044,0.5129053606882858,35.83719391131701,31.336863004632693
蒲田1,section,2060-2076,is_x_day,plus,1,1,2556,319.2097026604069,43.42723004694836,36.189358372456965
