island,section,last_digit,period,xday_mean,period_mean,deviation,global_mean,deviation_vs_global,n_xday_records,n_period_records
AT島,523-539,0,新店長2026/5-,-263.3333333333333,-312.36842105263156,49.03508771929825,-235.16463414634146,-28.16869918699186,6,19
AT島,523-539,1,新店長2026/5-,-374.0,-31.608695652173914,-342.39130434782606,-177.70362903225808,-196.29637096774192,6,23
AT島,523-539,2,新店長2026/5-,-720.6666666666666,-248.57894736842104,-472.0877192982456,-82.76024590163935,-637.9064207650273,6,19
AT島,523-539,3,新店長2026/5-,50.0,-249.71153846153845,299.71153846153845,-242.5030181086519,292.5030181086519,12,52
AT島,523-539,4,新店長2026/5-,-781.5833333333334,122.41818181818182,-904.0015151515152,-136.67722165474976,-644.9061116785836,12,55
AT島,523-539,5,新店長2026/5-,-237.0,-330.77358490566036,93.77358490566036,-146.70408163265307,-90.29591836734693,11,53
AT島,523-539,6,新店長2026/5-,-662.75,-3.754385964912281,-658.9956140350877,-59.17110655737705,-603.578893442623,12,57
AT島,523-539,7,新店長2026/5-,-1250.5833333333333,-776.6458333333334,-473.9374999999999,-154.7138523761375,-1095.8694809571957,12,48
AT島,523-539,8,新店長2026/5-,1209.0833333333333,107.67307692307692,1101.4102564102564,-62.78600823045267,1271.8693415637858,12,52
AT島,523-539,9,新店長2026/5-,195.16666666666666,-399.3898305084746,594.5564971751412,-171.8085742771685,366.97524094383516,12,59
AT島,540-556,0,新店長2026/5-,409.0,-311.76666666666665,720.7666666666667,152.03174603174602,256.968253968254,12,60
AT島,540-556,1,新店長2026/5-,1203.9166666666667,676.1833333333333,527.7333333333335,120.01630988786953,1083.9003567787972,12,60
AT島,540-556,2,新店長2026/5-,112.16666666666667,590.6,-478.43333333333334,160.40464177598386,-48.23797510931719,12,60
AT島,540-556,3,新店長2026/5-,2024.1666666666667,1257.25,766.9166666666667,140.59390862944161,1883.5727580372252,12,60
AT島,540-556,4,新店長2026/5-,-929.3333333333334,-112.8,-816.5333333333334,211.0678824721378,-1140.401215805471,12,60
AT島,540-556,5,新店長2026/5-,1045.6666666666667,71.68333333333334,973.9833333333333,-48.559760956175296,1094.226427622842,12,60
AT島,540-556,6,新店長2026/5-,-1345.5833333333333,-298.6333333333333,-1046.9499999999998,18.263479145473042,-1363.8468124788062,12,60
AT島,540-556,7,新店長2026/5-,-420.5,1429.1666666666667,-1849.6666666666667,298.6123260437376,-719.1123260437375,6,30
AT島,540-556,8,新店長2026/5-,492.0,-72.4,564.4,48.27439024390244,443.7256097560976,6,30
AT島,540-556,9,新店長2026/5-,-504.0,-435.3333333333333,-68.66666666666669,4.691532258064516,-508.6915322580645,6,30
AT島,557-573,0,新店長2026/5-,1110.5,97.12280701754386,1013.3771929824561,157.04747474747475,953.4525252525252,12,57
AT島,557-573,1,新店長2026/5-,-767.8333333333334,-206.0,-561.8333333333334,72.5337361530715,-840.3670694864048,12,60
AT島,557-573,2,新店長2026/5-,398.0833333333333,147.94915254237287,250.13418079096044,182.86027944111777,215.22305389221555,12,59
AT島,557-573,3,新店長2026/5-,-52.0,173.45762711864407,-225.45762711864407,174.45904954499494,-226.45904954499494,12,59
AT島,557-573,4,新店長2026/5-,-157.83333333333334,360.2758620689655,-518.1091954022988,148.72357723577235,-306.5569105691057,6,29
AT島,557-573,5,新店長2026/5-,928.0,282.3448275862069,645.655172413793,103.72895277207392,824.271047227926,6,29
AT島,557-573,6,新店長2026/5-,-319.6666666666667,-83.37037037037037,-236.2962962962963,355.63453815261045,-675.3012048192771,6,27
AT島,557-573,7,新店長2026/5-,-1303.75,-577.8166666666667,-725.9333333333333,-2.725470763131814,-1301.0245292368681,12,60
AT島,557-573,8,新店長2026/5-,482.3333333333333,-305.52542372881356,787.8587570621469,110.20456802383316,372.1287653095002,12,59
AT島,557-573,9,新店長2026/5-,-956.0,-271.89830508474574,-684.1016949152543,45.54582074521652,-1001.5458207452165,12,59
AT島,574-590,0,新店長2026/5-,54.5,292.98333333333335,-238.48333333333335,-95.35588235294118,149.8558823529412,12,60
AT島,574-590,1,新店長2026/5-,742.5,-144.7,887.2,109.89194499017681,632.6080550098231,6,30
AT島,574-590,2,新店長2026/5-,3325.3333333333335,330.7,2994.6333333333337,181.75442043222003,3143.5789129011137,6,30
AT島,574-590,3,新店長2026/5-,-1244.3333333333333,239.8,-1484.1333333333332,-81.40236686390533,-1162.9309664694279,6,30
AT島,574-590,4,新店長2026/5-,1507.4166666666667,-61.63333333333333,1569.0500000000002,96.49462365591398,1410.9220430107528,12,60
AT島,574-590,5,新店長2026/5-,656.0,461.8666666666667,194.13333333333333,196.06967615309128,459.9303238469087,12,60
AT島,574-590,6,新店長2026/5-,432.25,418.76666666666665,13.483333333333348,-46.74828599412341,478.9982859941234,12,60
AT島,574-590,7,新店長2026/5-,-476.0833333333333,235.28333333333333,-711.3666666666667,158.33498023715416,-634.4183135704875,12,60
AT島,574-590,8,新店長2026/5-,523.8333333333334,-187.47457627118644,711.3079096045199,47.448412698412696,476.38492063492066,12,59
AT島,574-590,9,新店長2026/5-,-1856.8333333333333,-453.55,-1403.2833333333333,-32.384086444007856,-1824.4492468893254,12,60
AT島,591-607,0,新店長2026/5-,-568.8333333333334,-32.2,-536.6333333333333,293.00388349514566,-861.8372168284791,6,30
AT島,591-607,1,新店長2026/5-,-404.1666666666667,-139.43333333333334,-264.73333333333335,7.562252964426878,-411.72891963109356,12,60
AT島,591-607,2,新店長2026/5-,212.91666666666666,-267.6666666666667,480.58333333333337,78.762,134.15466666666666,12,60
AT島,591-607,3,新店長2026/5-,-285.9166666666667,165.91666666666666,-451.83333333333337,47.983300589390964,-333.89996725605766,12,60
AT島,591-607,4,新店長2026/5-,-313.4166666666667,-394.05,80.63333333333333,188.0924623115578,-501.50912897822445,12,60
AT島,591-607,5,新店長2026/5-,-762.0833333333334,-144.71666666666667,-617.3666666666667,-49.448579823702254,-712.6347535096311,12,60
AT島,591-607,6,新店長2026/5-,-521.1666666666666,-142.43333333333334,-378.7333333333333,192.9171597633136,-714.0838264299803,12,60
AT島,591-607,7,新店長2026/5-,-245.66666666666666,26.783333333333335,-272.45,84.18093385214007,-329.84760051880676,12,60
AT島,591-607,8,新店長2026/5-,-247.0,-98.43333333333334,-148.56666666666666,150.96245059288538,-397.9624505928854,6,30
AT島,591-607,9,新店長2026/5-,-49.666666666666664,-265.26666666666665,215.6,300.6861598440546,-350.3528265107213,6,30
AT島,608-623,0,新店長2026/5-,-634.3333333333334,-320.03333333333336,-314.3,-90.90891283055828,-543.4244205027751,12,60
AT島,608-623,1,新店長2026/5-,-403.4166666666667,-244.5,-158.91666666666669,86.98294884653961,-490.3996155132063,12,60
AT島,608-623,2,新店長2026/5-,-537.8333333333334,-192.93333333333334,-344.90000000000003,-5.792168674698795,-532.0411646586346,12,60
AT島,608-623,3,新店長2026/5-,1797.1666666666667,146.88333333333333,1650.2833333333333,-15.3996003996004,1812.566267066267,12,60
AT島,608-623,4,新店長2026/5-,1561.3333333333333,572.1666666666666,989.1666666666666,21.921722113502934,1539.4116112198303,6,30
AT島,608-623,5,新店長2026/5-,-333.8333333333333,1056.2,-1390.0333333333333,-118.65853658536585,-215.17479674796746,6,30
AT島,608-623,6,新店長2026/5-,364.6666666666667,-35.333333333333336,400.0,-224.81159420289856,589.4782608695652,6,30
AT島,608-623,7,新店長2026/5-,-1890.6666666666667,-573.1666666666666,-1317.5,-125.93456032719837,-1764.7321063394684,6,30
AT島,608-623,8,新店長2026/5-,-506.75,-362.35,-144.39999999999998,-133.4037886340977,-373.34621136590226,12,60
AT島,608-623,9,新店長2026/5-,1534.0,249.47457627118644,1284.5254237288136,26.285854616895875,1507.714145383104,12,59
AT島,624-640,0,新店長2026/5-,1535.6666666666667,645.2666666666667,890.4000000000001,-162.1976401179941,1697.8643067846608,12,60
AT島,624-640,1,新店長2026/5-,-2756.5,-317.8333333333333,-2438.6666666666665,-127.29191321499013,-2629.20808678501,6,30
AT島,624-640,2,新店長2026/5-,-661.8333333333334,-798.0666666666667,136.23333333333335,-254.3208661417323,-407.5124671916011,6,30
AT島,624-640,3,新店長2026/5-,-1235.1666666666667,-642.0,-593.1666666666667,-128.70669291338584,-1106.4599737532808,6,30
AT島,624-640,4,新店長2026/5-,739.6666666666666,-167.10526315789474,906.7719298245613,-128.81522842639595,868.4818950930626,12,57
AT島,624-640,5,新店長2026/5-,-1204.8333333333333,-194.64150943396226,-1010.191823899371,-255.44353182751541,-949.3898015058178,12,53
AT島,624-640,6,新店長2026/5-,-40.75,88.88135593220339,-129.6313559322034,-238.3211752786221,197.5711752786221,12,59
AT島,624-640,7,新店長2026/5-,1468.0833333333333,55.96610169491525,1412.117231638418,-46.52,1514.6033333333332,12,59
AT島,624-640,8,新店長2026/5-,810.5,209.76666666666668,600.7333333333333,-30.53211009174312,841.0321100917431,12,60
AT島,624-640,9,新店長2026/5-,-622.0,-336.0689655172414,-285.9310344827586,-109.54091816367266,-512.4590818363273,12,58
ジャグラー島,641-657,0,旧店長2025,116.56944444444444,50.0,66.56944444444444,18.5747572815534,97.99468716289104,72,365
ジャグラー島,641-657,1,旧店長2025,325.75694444444446,247.9917469050894,77.76519753935506,246.33787731256086,79.4190671318836,144,727
ジャグラー島,641-657,2,旧店長2025,118.49305555555556,124.55205479452054,-6.0589992389649865,145.9378640776699,-27.444808522114343,144,730
ジャグラー島,641-657,3,旧店長2025,17.131944444444443,53.78493150684932,-36.652987062404875,63.5,-46.36805555555556,144,730
ジャグラー島,641-657,4,旧店長2025,31.006944444444443,-6.252054794520548,37.25899923896499,31.509708737864077,-0.5027642934196344,144,730
ジャグラー島,641-657,5,旧店長2025,307.43055555555554,14.983561643835616,292.4469939117199,-13.003883495145631,320.4344390507012,144,730
ジャグラー島,641-657,6,旧店長2025,352.875,0.6150684931506849,352.25993150684934,-5.238834951456311,358.1138349514563,144,730
ジャグラー島,641-657,7,旧店長2025,43.69444444444444,-36.78904109589041,80.48348554033485,-23.65242718446602,67.34687162891046,144,730
