island,section,last_digit,dd,dd_mean,global_mean,deviation_dd,n_records
AT島,501-522,9,23,-407.1212121212121,-105.22487562189055,-301.8963364993216,33
AT島,501-522,9,24,248.5,-105.22487562189055,353.72487562189053,34
AT島,501-522,9,25,-322.6666666666667,-105.22487562189055,-217.44179104477615,33
AT島,501-522,9,26,-146.3125,-105.22487562189055,-41.08762437810945,32
AT島,501-522,9,27,1173.090909090909,-105.22487562189055,1278.3157847127995,33
AT島,501-522,9,28,-346.6875,-105.22487562189055,-241.46262437810947,32
AT島,501-522,9,29,318.10714285714283,-105.22487562189055,423.33201847903337,28
AT島,501-522,9,30,-338.9642857142857,-105.22487562189055,-233.7394100923952,28
AT島,501-522,9,31,-838.7777777777778,-105.22487562189055,-733.5529021558873,18
AT島,523-539,0,1,126.47058823529412,-235.16463414634146,361.6352223816356,17
AT島,523-539,0,2,114.3529411764706,-235.16463414634146,349.51757532281204,17
AT島,523-539,0,3,-315.7647058823529,-235.16463414634146,-80.60007173601147,17
AT島,523-539,0,4,1523.4117647058824,-235.16463414634146,1758.576398852224,17
AT島,523-539,0,5,-1032.125,-235.16463414634146,-796.9603658536586,16
AT島,523-539,0,6,1061.6875,-235.16463414634146,1296.8521341463415,16
AT島,523-539,0,7,-434.70588235294116,-235.16463414634146,-199.5412482065997,17
AT島,523-539,0,8,69.25,-235.16463414634146,304.4146341463414,16
AT島,523-539,0,9,-314.1333333333333,-235.16463414634146,-78.96869918699187,15
AT島,523-539,0,10,151.0,-235.16463414634146,386.1646341463414,17
AT島,523-539,0,11,137.125,-235.16463414634146,372.2896341463414,16
AT島,523-539,0,12,690.2941176470588,-235.16463414634146,925.4587517934002,17
AT島,523-539,0,13,-513.7333333333333,-235.16463414634146,-278.5686991869919,15
AT島,523-539,0,14,284.29411764705884,-235.16463414634146,519.4587517934003,17
AT島,523-539,0,15,-860.7058823529412,-235.16463414634146,-625.5412482065998,17
AT島,523-539,0,16,-914.3333333333334,-235.16463414634146,-679.168699186992,15
AT島,523-539,0,17,-1542.764705882353,-235.16463414634146,-1307.6000717360114,17
AT島,523-539,0,18,363.7647058823529,-235.16463414634146,598.9293400286944,17
AT島,523-539,0,19,-575.875,-235.16463414634146,-340.7103658536586,16
AT島,523-539,0,20,-13.3125,-235.16463414634146,221.85213414634146,16
AT島,523-539,0,21,-210.4,-235.16463414634146,24.76463414634145,15
AT島,523-539,0,22,-316.0625,-235.16463414634146,-80.89786585365854,16
AT島,523-539,0,23,-301.125,-235.16463414634146,-65.96036585365854,16
AT島,523-539,0,24,-1329.0,-235.16463414634146,-1093.8353658536585,17
