island,section,last_digit,best_dd,best_deviation,worst_dd,worst_deviation,dd_spread
ジャグラー島,658-674,7,24,842.6293311845286,23,-574.4883158742949,1417.1176470588234
バラエティ島,701-711,5,31,688.0331384015594,3,-724.2413714023621,1412.2745098039215
バラエティ島,712-722,6,4,752.4389491719018,27,-656.6786978869218,1409.1176470588234
バラエティ島,723-733,2,4,805.0488863506567,1,-603.8922901199314,1408.9411764705883
AT島,574-590,6,18,846.8732859941234,11,-539.1001988543615,1385.973484848485
AT島,591-607,1,14,628.9377470355731,31,-739.173364075538,1368.111111111111
バラエティ島,712-722,5,10,852.4419189034837,24,-501.96984580239865,1354.4117647058824
バラエティ島,723-733,1,30,778.5828016643551,28,-568.997030268418,1347.5798319327732
バラエティ島,723-733,6,4,652.7438035408338,30,-684.1679611650485,1336.9117647058824
バラエティ島,734-744,7,24,747.1377498572244,21,-561.0387207310108,1308.1764705882351
バラエティ島,734-744,1,5,688.7270765911542,31,-608.8284789644014,1297.5555555555557
ジャグラー島,658-674,6,3,851.536150770988,28,-420.0520845231296,1271.5882352941176
バラエティ島,734-744,0,24,880.3827527127356,18,-389.02901199314675,1269.4117647058824
バラエティ島,723-733,5,14,550.1281553398059,18,-709.5777270131354,1259.7058823529412
ジャグラー島,675-691,4,4,717.7696173615077,31,-534.0343042071198,1251.8039215686276
ジャグラー島,675-691,7,17,817.1839958639706,8,-430.4042394301471,1247.5882352941176
バラエティ島,734-744,3,14,781.0950314106226,17,-466.08143917761276,1247.1764705882354
ジャグラー島,641-657,9,3,538.9153626499143,5,-694.1892125134843,1233.1045751633987
バラエティ島,734-744,5,30,607.2787794729542,31,-618.7529665587919,1226.031746031746
ジャグラー島,641-657,6,24,576.6211878926327,15,-648.2905768132496,1224.9117647058824
バラエティ島,734-744,2,24,575.6074616617075,31,-640.6735840899264,1216.2810457516339
バラエティ島,712-722,9,5,601.4728155339806,18,-603.4389491719018,1204.9117647058824
バラエティ島,734-744,8,7,607.3872073101085,6,-589.9069103369503,1197.2941176470588
ジャグラー島,675-691,2,2,616.8426556420234,22,-575.631609063859,1192.4742647058824
バラエティ島,712-722,4,5,665.5430420711974,18,-520.8491147915477,1186.3921568627452
ジャグラー島,641-657,0,25,556.8370074243289,14,-614.6335808109651,1171.4705882352941
ジャグラー島,675-691,3,2,729.2243289548829,15,-439.54037692747,1168.764705882353
ジャグラー島,675-691,9,17,589.4025699600228,23,-578.1562535693889,1167.5588235294117
ジャグラー島,658-674,5,5,821.4539374325782,29,-342.10161812297736,1163.5555555555557
バラエティ島,723-733,9,24,729.9528269560252,28,-412.1648201027984,1142.1176470588236
バラエティ島,712-722,0,14,673.253912050257,31,-453.4323624595469,1126.6862745098038
ジャグラー島,641-657,5,30,766.8253120665742,18,-346.7019988577955,1113.5273109243697
バラエティ島,723-733,4,16,544.8737864077669,28,-567.7144488863507,1112.5882352941176
ジャグラー島,641-657,1,7,454.92682856979206,2,-620.0651500398336,1074.9919786096257
ジャグラー島,658-674,1,4,547.7458023986294,31,-503.14962243797197,1050.8954248366013
バラエティ島,723-733,0,2,426.79120502569964,29,-621.5695792880259,1048.3607843137256
ジャグラー島,675-691,8,11,659.0182752712735,1,-386.09937178755,1045.1176470588234
バラエティ島,712-722,3,5,647.4768069039915,15,-391.41861793260995,1038.8954248366015
バラエティ島,734-744,6,30,661.7719833564494,3,-371.8414620217019,1033.6134453781513
バラエティ島,701-711,1,11,576.4398004815962,29,-447.1327485380117,1023.5725490196079
ジャグラー島,641-657,2,21,520.5033123929184,7,-502.14374643061103,1022.6470588235294
バラエティ島,712-722,2,14,578.5779554540262,29,-436.81812297734626,1015.3960784313724
ジャグラー島,658-674,9,5,623.2089536138079,26,-368.52307252998287,991.7320261437908
バラエティ島,712-722,7,13,495.19600228440896,18,-464.2157624214734,959.4117647058824
ジャグラー島,658-674,2,24,506.61679040548256,16,-444.2655625356939,950.8823529411765
ジャグラー島,675-691,6,24,558.8323814962879,8,-379.34408909194747,938.1764705882354
ジャグラー島,658-674,4,13,517.311193603655,18,-406.6593946316391,923.9705882352941
ジャグラー島,658-674,3,24,466.56482010279836,21,-445.4351798972016,912.0
バラエティ島,734-744,4,9,585.5585950885209,21,-312.8531696173615,898.4117647058824
バラエティ島,712-722,8,4,523.5356938892061,23,-354.9937178754997,878.5294117647059
ジャグラー島,641-657,4,16,540.1961736150771,1,-322.7155910908052,862.9117647058823
ジャグラー島,675-691,1,2,403.5569388920617,1,-453.35482581382064,856.9117647058823
ジャグラー島,675-691,5,31,370.10204962243796,10,-419.5286693318104,789.6307189542483
バラエティ島,723-733,3,7,392.66853226727585,6,-391.2138206739006,783.8823529411765
ジャグラー島,658-674,8,4,516.4472301541975,20,-259.3468874928612,775.7941176470588
ジャグラー島,675-691,0,17,381.2610508280982,5,-345.3549622437972,726.6160130718954
ジャグラー島,641-657,7,17,404.3877213021131,29,-317.71423948220064,722.1019607843137
ジャグラー島,658-674,0,4,367.94732907825886,22,-338.6114944511529,706.5588235294117
ジャグラー島,641-657,3,18,322.5882352941176,12,-301.7352941176471,624.3235294117646
