hall,dd,is_novel,machine_name,category,n,hit104_rate,baseline_hit104_rate,residual,rank_desc,rank_asc,p_value,q_value,is_machine_significant
レイトギャップ,15,True,甲鉄城のカバネリ,other,18,27.77777777777778,34.686346863468636,-6.908569085690857,72,41,0.6269518259753246,1.0,False
レイトギャップ,15,True,スマスロ北斗の拳,other,205,22.439024390243905,29.5962067910676,-7.157182400823697,73,40,0.021778412481961926,0.49565177863851384,False
レイトギャップ,15,True,ファミスタ回胴版!!,bt,9,22.22222222222222,29.545454545454547,-7.323232323232325,74,39,1.0,1.0,False
レイトギャップ,15,True,うしおととら 白面決戦,other,7,28.57142857142857,36.03603603603604,-7.464607464607468,75,38,1.0,1.0,False
レイトギャップ,15,True,モンスターハンターライズ,other,95,21.052631578947366,28.867313915857608,-7.814682336910241,76,37,0.090429913167886,0.8182891672545223,False
レイトギャップ,15,True,吉宗,other,49,22.448979591836736,30.324675324675326,-7.87569573283859,77,36,0.27744430590289243,0.9173560355112615,False
レイトギャップ,15,True,マジカルハロウィン8,bt,31,19.35483870967742,27.360515021459225,-8.005676311781805,78,35,0.4214367877299408,0.9502419401357014,False
レイトギャップ,15,True,ジャグラーガールズ,jug,60,16.666666666666664,24.905456509994597,-8.238789843327933,79,34,0.1390224862557518,0.8195009716128527,False
レイトギャップ,15,True,バイオハザード RE:3,other,5,20.0,28.71287128712871,-8.71287128712871,80,33,1.0,1.0,False
レイトギャップ,15,True,ヨルムンガンド,other,5,20.0,29.00763358778626,-9.007633587786259,81,32,1.0,1.0,False
レイトギャップ,15,True,聖戦士ダンバイン,other,8,25.0,34.46969696969697,-9.469696969696969,82,31,0.7220154365026571,1.0,False
レイトギャップ,15,True,緑ドン VIVA!情熱南米編 REVIVAL,other,18,16.666666666666664,26.4990328820116,-9.832366215344937,83,30,0.43166303140446216,0.9502419401357014,False
レイトギャップ,15,True,不二子BT,bt,5,20.0,29.936305732484076,-9.936305732484076,84,29,1.0,1.0,False
レイトギャップ,15,True,ひぐらしのなく頃に 業,bt,10,20.0,30.64516129032258,-10.64516129032258,85,28,0.733798828302545,1.0,False
レイトギャップ,15,True,スマート沖スロ ニューキングハナハナV,hana,12,16.666666666666664,27.365728900255753,-10.699062233589089,86,27,0.5299894846154393,0.9890530880449728,False
レイトギャップ,15,True,押忍!番長ZERO,other,10,20.0,30.944625407166125,-10.944625407166125,87,26,0.7342478599373505,1.0,False
レイトギャップ,15,True,マギアレコード 魔法少女まどか☆マギカ外伝,other,52,21.153846153846153,32.136222910216716,-10.982376756370563,88,25,0.10228614590681528,0.8182891672545223,False
レイトギャップ,15,True,HEY！エリートサラリーマン鏡,other,19,21.052631578947366,32.69230769230769,-11.639676113360327,89,24,0.3349704846010072,0.9173560355112615,False
レイトギャップ,15,True,戦姫絶唱シンフォギア 正義の歌,other,17,11.76470588235294,23.421588594704684,-11.656882712351743,90,23,0.39203718949097527,0.9502419401357014,False
レイトギャップ,15,True,北斗の拳 転生の章2,other,75,16.0,28.275551553354344,-12.275551553354344,91,22,0.014774087923063393,0.49565177863851384,False
レイトギャップ,15,True,真打 吉宗,other,6,16.666666666666664,29.166666666666668,-12.500000000000004,92,21,0.6770739711703788,1.0,False
レイトギャップ,15,True,麻雀物語,other,20,15.0,27.670527670527672,-12.670527670527672,93,20,0.3173096359783357,0.9173560355112615,False
レイトギャップ,15,True,デビル メイ クライ5 スタイリッシュトライブ,other,8,12.5,25.34246575342466,-12.842465753424658,94,19,0.6888629261453391,1.0,False
レイトギャップ,15,True,頭文字D 2nd,other,33,18.181818181818183,31.475409836065577,-13.293591654247393,95,18,0.13299029652015204,0.8195009716128527,False
レイトギャップ,15,True,ゴブリンスレイヤーII,other,5,20.0,35.39325842696629,-15.393258426966291,96,17,0.6607484819208749,1.0,False
レイトギャップ,15,True,新ハナビ,bt,16,12.5,28.09611829944547,-15.596118299445472,97,16,0.2655440076558664,0.9173560355112615,False
レイトギャップ,15,True,シャーマンキング,other,14,14.285714285714285,29.954954954954953,-15.669240669240668,98,15,0.2521327843238158,0.9173560355112615,False
レイトギャップ,15,True,沖ドキ!ゴージャス 30Φ,oki,22,22.727272727272727,38.50574712643678,-15.778474399164054,99,14,0.13095872540350295,0.8195009716128527,False
レイトギャップ,15,True,クランキークレスト,bt,8,12.5,28.99628252788104,-16.49628252788104,100,13,0.45043225128381637,0.9502419401357014,False
レイトギャップ,15,True,チバリヨ2プラス,other,46,13.043478260869565,29.64824120603015,-16.604762945160587,101,12,0.009686052495205938,0.49565177863851384,False
レイトギャップ,15,True,ディスクアップ2,bt,12,16.666666666666664,34.5088161209068,-17.842149454240136,102,11,0.2356053463895021,0.9173560355112615,False
レイトギャップ,15,True,ToLOVEるダークネス TRANCE ver.8.7,other,36,16.666666666666664,34.56345634563456,-17.8967896789679,103,10,0.022127311546362226,0.49565177863851384,False
レイトギャップ,15,True,ディスクアップ ULTRAREMIX,bt,19,21.052631578947366,40.39408866995074,-19.341457091003374,104,9,0.10158242454358274,0.8182891672545223,False
レイトギャップ,15,True,ギルティクラウン2,other,9,11.11111111111111,33.067729083665334,-21.956617972554223,105,8,0.2889371411357189,0.9173560355112615,False
レイトギャップ,15,True,ガールズ&パンツァー 最終章,other,6,16.666666666666664,38.94736842105263,-22.280701754385966,106,7,0.41310860731355414,0.9502419401357014,False
レイトギャップ,15,True,痛いのは嫌なので防御力に極振りしたいと思います。,other,15,6.666666666666667,31.8,-25.133333333333333,107,6,0.04882953940537604,0.6836135516752646,False
レイトギャップ,15,True,ようこそ実力至上主義の教室へ,other,7,0.0,26.618705035971225,-26.618705035971225,108,5,0.20195518216147762,0.9173560355112615,False
レイトギャップ,15,True,マクロスフロンティア4,other,10,0.0,26.900584795321635,-26.900584795321635,109,4,0.07151423455405731,0.8182891672545223,False
レイトギャップ,15,True,スマスロ真・北斗無双,other,5,0.0,28.517110266159694,-28.517110266159694,110,3,0.3305313561565303,0.9173560355112615,False
レイトギャップ,15,True,アイドルマスター ミリオンライブ！ ネクストプロローグ,other,5,0.0,28.64864864864865,-28.64864864864865,111,2,0.33065437002002573,0.9173560355112615,False
レイトギャップ,15,True,ラブ嬢3～Wご指名はいかがですか?～,other,10,0.0,30.117647058823525,-30.117647058823525,112,1,0.03750749469039243,0.6413301155154724,False
レイトギャップ,19,True,無職転生 ～異世界行ったら本気だす～,other,5,80.0,31.67701863354037,48.32298136645963,1,117,0.03126728316119492,0.4137048530973576,False
レイトギャップ,19,True,アズールレーン THE ANIMATION,other,10,70.0,30.743243243243246,39.25675675675676,2,116,0.009334013965045507,0.21841592678206487,False
レイトギャップ,19,True,絶対衝激～PLATONIC HEART～,other,5,60.0,25.71428571428571,34.28571428571429,3,115,0.09325117440000001,0.6417874944,False
レイトギャップ,19,True,聖戦士ダンバイン,other,9,66.66666666666666,34.46969696969697,32.19696969696969,4,114,0.06843468983386682,0.6159122085048013,False
レイトギャップ,19,True,ガールズ&パンツァー 最終章,other,9,66.66666666666666,38.94736842105263,27.719298245614027,5,113,0.0890817107087842,0.6417874944,False
レイトギャップ,19,True,ミリオンゴッド‐神々の軌跡‐,other,15,53.333333333333336,26.666666666666668,26.666666666666668,6,112,0.03287341452979685,0.4137048530973576,False
レイトギャップ,19,True,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,other,14,57.14285714285714,30.878859857482183,26.263997285374955,7,111,0.03813256688073806,0.4137048530973576,False
レイトギャップ,19,True,スマスロ真・北斗無双,other,10,50.0,28.517110266159694,21.482889733840306,8,110,0.1524041741339207,0.7029804522741965,False
レイトギャップ,19,True,バイオハザード RE:3,other,6,50.0,28.71287128712871,21.28712871287129,9,109,0.3554091625454735,0.9010149212197371,False
レイトギャップ,19,True,甲鉄城のカバネリ 海門(うなと)決戦,other,32,50.0,29.935622317596568,20.064377682403432,10,108,0.017674648296881788,0.29541912153359556,False
レイトギャップ,19,True,マギアレコード 魔法少女まどか☆マギカ外伝,other,56,51.78571428571429,32.136222910216716,19.649491375497576,11,107,0.0021398488449236685,0.11182146531673665,False
レイトギャップ,19,True,ようこそ実力至上主義の教室へ,other,7,42.857142857142854,26.618705035971225,16.23843782117163,12,106,0.3838026691955573,0.9050813666067492,False
