target,precision,recall,f1,hit_at_1,hit_at_2,hit_at_3,hit_at_5,predicted_count,base_rate,date,month,day_of_week,is_thursday,threshold,entity_count,truth_entity_count,known_entity_count,unseen_entity_count,known_coverage,skip_rate,model_type,backend_used,segment_mode,segment_blend_weight,segment_models_used,segment_prediction_rows
is_top_3,0.04411764705882353,1.0,0.08450704225352113,0.0,0.0,0.0,0.0,68,0.041666666666666664,2026-05-12,2026-05,Tuesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.08333333333333333,0.8,0.1509433962264151,0.0,1.0,1.0,1.0,48,0.06944444444444445,2026-05-12,2026-05,Tuesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.06666666666666667,1.0,0.125,0.0,0.0,0.0,1.0,15,0.013888888888888888,2026-05-13,2026-05,Wednesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.041666666666666664,0.5,0.07692307692307693,0.0,0.0,0.0,0.0,24,0.027777777777777776,2026-05-13,2026-05,Wednesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.041666666666666664,1.0,0.07999999999999999,0.0,0.0,0.0,0.0,72,0.041666666666666664,2026-05-13,2026-05,Wednesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.13043478260869565,0.6,0.21428571428571427,1.0,1.0,1.0,1.0,23,0.06944444444444445,2026-05-13,2026-05,Wednesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.013888888888888888,1.0,0.0273972602739726,0.0,0.0,1.0,1.0,72,0.013888888888888888,2026-05-14,2026-05,Thursday,1,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.029850746268656716,1.0,0.05797101449275362,0.0,0.0,0.0,0.0,67,0.027777777777777776,2026-05-14,2026-05,Thursday,1,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.043478260869565216,0.6666666666666666,0.08163265306122448,0.0,0.0,0.0,1.0,46,0.041666666666666664,2026-05-14,2026-05,Thursday,1,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.05714285714285714,0.4,0.09999999999999999,0.0,0.0,0.0,0.0,35,0.06944444444444445,2026-05-14,2026-05,Thursday,1,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.013888888888888888,2026-05-15,2026-05,Friday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.025,0.5,0.047619047619047616,0.0,0.0,0.0,1.0,40,0.027777777777777776,2026-05-15,2026-05,Friday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.045454545454545456,0.6666666666666666,0.08510638297872342,0.0,0.0,0.0,0.0,44,0.041666666666666664,2026-05-15,2026-05,Friday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.09433962264150944,1.0,0.1724137931034483,0.0,0.0,0.0,1.0,53,0.06944444444444445,2026-05-15,2026-05,Friday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.013888888888888888,1.0,0.0273972602739726,0.0,0.0,0.0,0.0,72,0.013888888888888888,2026-05-16,2026-05,Saturday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.030303030303030304,1.0,0.05882352941176471,0.0,0.0,0.0,0.0,66,0.027777777777777776,2026-05-16,2026-05,Saturday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.047619047619047616,0.3333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,21,0.041666666666666664,2026-05-16,2026-05,Saturday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.06944444444444445,1.0,0.12987012987012989,0.0,1.0,1.0,1.0,72,0.06944444444444445,2026-05-16,2026-05,Saturday,0,0.0,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.02127659574468085,1.0,0.04166666666666667,0.0,0.0,0.0,1.0,47,0.013888888888888888,2026-05-17,2026-05,Sunday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.029411764705882353,1.0,0.05714285714285715,0.0,0.0,0.0,0.0,68,0.027777777777777776,2026-05-17,2026-05,Sunday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.058823529411764705,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,51,0.041666666666666664,2026-05-17,2026-05,Sunday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.08333333333333333,0.6,0.14634146341463414,0.0,0.0,1.0,1.0,36,0.06944444444444445,2026-05-17,2026-05,Sunday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.02857142857142857,1.0,0.05555555555555556,0.0,0.0,0.0,1.0,35,0.013888888888888888,2026-05-18,2026-05,Monday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.027777777777777776,1.0,0.05405405405405406,0.0,0.0,0.0,0.0,72,0.027777777777777776,2026-05-18,2026-05,Monday,0,0.0,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.05454545454545454,1.0,0.10344827586206896,0.0,0.0,0.0,0.0,55,0.041666666666666664,2026-05-18,2026-05,Monday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.06944444444444445,1.0,0.12987012987012989,0.0,0.0,0.0,1.0,72,0.06944444444444445,2026-05-18,2026-05,Monday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.013888888888888888,2026-05-19,2026-05,Tuesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_2,0.037037037037037035,0.5,0.06896551724137931,0.0,0.0,0.0,0.0,27,0.027777777777777776,2026-05-19,2026-05,Tuesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_3,0.041666666666666664,1.0,0.07999999999999999,0.0,0.0,0.0,0.0,72,0.041666666666666664,2026-05-19,2026-05,Tuesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
is_top_5,0.06976744186046512,0.6,0.125,0.0,0.0,0.0,0.0,43,0.06944444444444445,2026-05-19,2026-05,Tuesday,0,0.5,72,72,72,0,1.0,0.0,sgd,cpu,floor2,0.5,2,72
