target,precision,recall,f1,hit_at_1,hit_at_2,hit_at_3,hit_at_5,predicted_count,base_rate,date,month,day_of_week,is_thursday,threshold,entity_count,truth_entity_count,known_entity_count,unseen_entity_count,known_coverage,skip_rate,model_type,backend_used,segment_mode,segment_models_used,segment_prediction_rows
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.06944444444444445,2026-05-16,2026-05,Saturday,0,0.1936659812927246,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-17,2026-05,Sunday,0,0.1444791555404663,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.027777777777777776,2026-05-17,2026-05,Sunday,0,0.15901002287864685,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.041666666666666664,2026-05-17,2026-05,Sunday,0,0.15048572421073914,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.5,0.2,0.28571428571428575,1.0,1.0,1.0,1.0,2,0.06944444444444445,2026-05-17,2026-05,Sunday,0,0.1944980025291443,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-18,2026-05,Monday,0,0.16244450211524963,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.027777777777777776,2026-05-18,2026-05,Monday,0,0.14997084438800812,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.041666666666666664,2026-05-18,2026-05,Monday,0,0.15424782037734985,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.06944444444444445,2026-05-18,2026-05,Monday,0,0.19668035209178925,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-19,2026-05,Tuesday,0,0.1416836678981781,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.027777777777777776,2026-05-19,2026-05,Tuesday,0,0.13996656239032745,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.041666666666666664,2026-05-19,2026-05,Tuesday,0,0.16090042889118195,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.06944444444444445,2026-05-19,2026-05,Tuesday,0,0.18479160964488983,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_rank_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.013888888888888888,2026-05-20,2026-05,Wednesday,0,0.15836134552955627,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.027777777777777776,2026-05-20,2026-05,Wednesday,0,0.15291553735733032,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.041666666666666664,2026-05-20,2026-05,Wednesday,0,0.14782153069972992,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
is_top_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.06944444444444445,2026-05-20,2026-05,Wednesday,0,0.1854843944311142,72,72,72,0,1.0,0.0,xgb,cuda,global,0,0
