date,machine_number,machine_name,games,diff,payout,day_baseline,edge,pool_size,universe_size
20251202,3173,ゴーゴージャグラー3,7233,-400,0.9815659707820636,362.0689655172414,-762.0689655172414,145,145
20251202,3174,ゴーゴージャグラー3,1985,-300,0.9496221662468514,362.0689655172414,-662.0689655172414,145,145
20251203,3172,ゴーゴージャグラー3,6254,-300,0.9840102334505916,153.75,-453.75,160,160
20251203,3173,ゴーゴージャグラー3,1821,-600,0.8901702361339923,153.75,-753.75,160,160
20251203,3174,ゴーゴージャグラー3,5818,1900,1.1088575684656812,153.75,1746.25,160,160
20251204,3172,ゴーゴージャグラー3,1327,-200,0.9497613664908314,274.12587412587413,-474.12587412587413,143,143
20251204,3173,ゴーゴージャグラー3,5762,1100,1.063635311813028,274.12587412587413,825.8741258741259,143,143
20251204,3189,ゴーゴージャグラー3,2485,400,1.0536552649228705,274.12587412587413,125.87412587412587,143,143
20251205,3173,ゴーゴージャグラー3,2236,-800,0.8807394156231365,-1.9607843137254901,-798.0392156862745,153,153
20251205,3174,ゴーゴージャグラー3,1295,-600,0.8455598455598455,-1.9607843137254901,-598.0392156862745,153,153
20251205,3189,ゴーゴージャグラー3,2126,-400,0.9372844151771715,-1.9607843137254901,-398.03921568627453,153,153
20251206,3173,ゴーゴージャグラー3,2634,-100,0.9873449759554543,122.22222222222223,-222.22222222222223,171,171
20251206,3174,ゴーゴージャグラー3,1667,-500,0.9000199960007998,122.22222222222223,-622.2222222222222,171,171
20251206,3187,ゴーゴージャグラー3,6503,2400,1.1230201445486698,122.22222222222223,2277.777777777778,171,171
20251207,3172,ゴーゴージャグラー3,8892,2200,1.082471135102714,188.88888888888889,2011.111111111111,171,171
20251207,3173,ゴーゴージャグラー3,7919,500,1.021046428421097,188.88888888888889,311.1111111111111,171,171
20251207,3187,ゴーゴージャグラー3,6243,0,1.0,188.88888888888889,-188.88888888888889,171,171
20251208,3172,ゴーゴージャグラー3,7094,400,1.0187952260125928,182.70676691729324,217.29323308270676,133,133
20251208,3173,ゴーゴージャグラー3,4915,-900,0.9389623601220752,182.70676691729324,-1082.7067669172932,133,133
20251208,3187,ゴーゴージャグラー3,7244,1000,1.0460150929504877,182.70676691729324,817.2932330827068,133,133
20251209,3172,ゴーゴージャグラー3,3862,-1200,0.8964267219057483,143.05555555555554,-1343.0555555555557,144,144
20251209,3173,ゴーゴージャグラー3,8293,2000,1.0803890831625065,143.05555555555554,1856.9444444444443,144,144
20251209,3187,ゴーゴージャグラー3,1242,-600,0.8389694041867954,143.05555555555554,-743.0555555555555,144,144
20251210,3172,ゴーゴージャグラー3,2407,1400,1.1938789641323917,133.79310344827587,1266.2068965517242,145,145
20251210,3173,ゴーゴージャグラー3,8966,0,1.0,133.79310344827587,-133.79310344827587,145,145
20251210,3189,ゴーゴージャグラー3,5868,900,1.0511247443762781,133.79310344827587,766.2068965517242,145,145
20251211,3172,ゴーゴージャグラー3,7453,1800,1.080504494834295,287.0967741935484,1512.9032258064517,155,155
20251211,3173,ゴーゴージャグラー3,8166,2600,1.1061311127438975,287.0967741935484,2312.9032258064517,155,155
20251211,3189,ゴーゴージャグラー3,1994,-600,0.8996990972918756,287.0967741935484,-887.0967741935484,155,155
20251212,3171,ゴーゴージャグラー3,6972,1700,1.0812774909160452,185.09316770186336,1514.9068322981366,161,161
20251212,3189,ゴーゴージャグラー3,3291,-900,0.9088422971741112,185.09316770186336,-1085.0931677018634,161,161
20251212,3313,ミスタージャグラー,4187,-500,0.960194252049996,185.09316770186336,-685.0931677018634,161,161
20251213,3172,ゴーゴージャグラー3,6222,-400,0.9785706632379728,13.450292397660819,-413.4502923976608,171,171
20251213,3173,ゴーゴージャグラー3,1632,-1000,0.795751633986928,13.450292397660819,-1013.4502923976609,171,171
20251213,3189,ゴーゴージャグラー3,5652,-400,0.976409530549658,13.450292397660819,-413.4502923976608,171,171
20251214,3171,ゴーゴージャグラー3,4765,1300,1.0909408884225253,141.1042944785276,1158.8957055214723,163,163
20251214,3172,ゴーゴージャグラー3,1060,-400,0.8742138364779874,141.1042944785276,-541.1042944785277,163,163
20251214,3173,ゴーゴージャグラー3,3051,-1400,0.8470446848027969,141.1042944785276,-1541.1042944785277,163,163
20251215,3172,ゴーゴージャグラー3,2357,-100,0.9858577287512374,112.24489795918367,-212.24489795918367,147,147
20251215,3173,ゴーゴージャグラー3,5694,100,1.0058541154431566,112.24489795918367,-12.244897959183675,147,147
20251215,3174,ゴーゴージャグラー3,1090,-400,0.8776758409785933,112.24489795918367,-512.2448979591836,147,147
20251216,3172,ゴーゴージャグラー3,7839,2700,1.1148105625717566,263.768115942029,2436.231884057971,138,138
20251216,3173,ゴーゴージャグラー3,1700,-300,0.9411764705882353,263.768115942029,-563.768115942029,138,138
20251216,3174,ゴーゴージャグラー3,3980,1400,1.117252931323283,263.768115942029,1136.231884057971,138,138
20251217,3171,ゴーゴージャグラー3,4382,-200,0.9847862467670775,274.23312883435585,-474.23312883435585,163,163
20251217,3172,ゴーゴージャグラー3,1414,-200,0.9528524280999529,274.23312883435585,-474.23312883435585,163,163
20251217,3173,ゴーゴージャグラー3,1427,-100,0.9766409717355758,274.23312883435585,-374.23312883435585,163,163
20251218,3173,ゴーゴージャグラー3,1171,-1200,0.6584116140051238,154.76190476190476,-1354.7619047619048,126,126
