hall,machine_name,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
ヒロキ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,250,dd,diff,kruskal,23.107880803660038,0.8107990490649798,0.0,250,31,0.0,
ヒロキ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,250,dd,hit104,chi2,32.76366636398149,0.33288981728228023,0.103030916486845,250,31,,warning: 53.2% of expected cells are below 5
ヒロキ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,250,dd,plus,chi2,22.273259640280916,0.843919937967009,0.0,250,31,,warning: 80.6% of expected cells are below 5
ヒロキ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,250,dd_bin,diff,kruskal,1.2209954010634618,0.8746299131101438,0.0,250,5,0.0,
ヒロキ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,250,dd_bin,hit104,chi2,6.725064066424739,0.1511504768642788,0.10430576581809539,250,5,,
ヒロキ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,250,dd_bin,plus,chi2,3.1088821187134665,0.5397724467762148,0.0,250,5,,
ヒロキ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,250,is_x_day,diff,kruskal,0.031195441559052857,0.8598050661429781,0.0,250,2,0.0,
ヒロキ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,250,is_x_day,hit104,chi2,0.04794817335218114,0.8266728614260126,0.0,250,2,,
ヒロキ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,250,is_x_day,plus,chi2,0.005276933468422796,0.9420906023015673,0.0,250,2,,
ヒロキ,ケロット4,508,day_of_week,diff,kruskal,3.4964416073641975,0.7444430638249995,0.0,508,7,0.0,
ヒロキ,ケロット4,508,day_of_week,hit104,chi2,7.832584214725826,0.25062704134070013,0.059926927536762875,508,7,,
ヒロキ,ケロット4,508,day_of_week,plus,chi2,3.5079082595085476,0.7429172402328368,0.0,508,7,,
ヒロキ,ケロット4,508,dd,diff,kruskal,27.478681705011216,0.5980412139287312,0.0,508,31,0.0,
ヒロキ,ケロット4,508,dd,hit104,chi2,35.312065314466125,0.2314628508586327,0.10178790409814482,508,31,,warning: 50.0% of expected cells are below 5
ヒロキ,ケロット4,508,dd,plus,chi2,25.188756291979757,0.7158077389304165,0.0,508,31,,
ヒロキ,ケロット4,508,dd_bin,diff,kruskal,0.698864603179208,0.9514688648826497,0.0,508,5,0.0,
ヒロキ,ケロット4,508,dd_bin,hit104,chi2,2.2989457392778267,0.6809610059398591,0.0,508,5,,
ヒロキ,ケロット4,508,dd_bin,plus,chi2,1.4557402574982323,0.8344515317404853,0.0,508,5,,
ヒロキ,ケロット4,508,is_x_day,diff,kruskal,0.6905816647716178,0.40596660541852014,0.0,508,2,0.0,
ヒロキ,ケロット4,508,is_x_day,hit104,chi2,2.026126886569064,0.15461419484526304,0.04494481569807956,508,2,,
ヒロキ,ケロット4,508,is_x_day,plus,chi2,0.4784586662963067,0.48912130815209276,0.0,508,2,,
ヒロキ,ゴッドイーター リザレクション,2678,day_of_week,diff,kruskal,25.112801147137592,0.0003254168792001319,0.007155672462425156,2678,7,0.0,
ヒロキ,ゴッドイーター リザレクション,2678,day_of_week,hit104,chi2,6.222666346863202,0.3987148894981295,0.009074157246879062,2678,7,,
ヒロキ,ゴッドイーター リザレクション,2678,day_of_week,plus,chi2,8.90400519905241,0.17904916341785898,0.032923566916758254,2678,7,,
ヒロキ,ゴッドイーター リザレクション,2678,dd,diff,kruskal,32.752160947966246,0.33339818823181633,0.0010397283520839613,2678,31,0.0,
ヒロキ,ゴッドイーター リザレクション,2678,dd,hit104,chi2,32.80069511600373,0.33125657632495153,0.03228034261761186,2678,31,,
ヒロキ,ゴッドイーター リザレクション,2678,dd,plus,chi2,25.41956888472449,0.7043962752803095,0.0,2678,31,,
ヒロキ,ゴッドイーター リザレクション,2678,dd_bin,diff,kruskal,0.9366744656394631,0.919241315353468,0.0,2678,5,0.0,
ヒロキ,ゴッドイーター リザレクション,2678,dd_bin,hit104,chi2,1.7359666240511369,0.7841743439521283,0.0,2678,5,,
ヒロキ,ゴッドイーター リザレクション,2678,dd_bin,plus,chi2,0.7501617542353181,0.9450019121918498,0.0,2678,5,,
ヒロキ,ゴッドイーター リザレクション,2678,is_x_day,diff,kruskal,3.9355705250210646,0.04727510214593749,0.001096999448812057,2678,2,0.0,
ヒロキ,ゴッドイーター リザレクション,2678,is_x_day,hit104,chi2,1.6384524908649138,0.2005379248239941,0.015438782521944722,2678,2,,
ヒロキ,ゴッドイーター リザレクション,2678,is_x_day,plus,chi2,8.87846560479913e-05,0.9924819952917312,0.0,2678,2,,
ヒロキ,ゴーゴージャグラー3,2928,day_of_week,diff,kruskal,25.992138332087507,0.00022339447730741337,0.0068442787853774415,2928,7,0.0,
ヒロキ,ゴーゴージャグラー3,2928,day_of_week,hit104,chi2,5.432381439525008,0.48966670582276794,0.0,2928,7,,
ヒロキ,ゴーゴージャグラー3,2928,day_of_week,plus,chi2,2.0401035327020605,0.9159735563770297,0.0,2928,7,,
ヒロキ,ゴーゴージャグラー3,2928,dd,diff,kruskal,41.42859762678137,0.0800272996225911,0.003944976743797504,2928,31,0.0,
ヒロキ,ゴーゴージャグラー3,2928,dd,hit104,chi2,34.66972863719539,0.2548559558278354,0.03989857220338292,2928,31,,
ヒロキ,ゴーゴージャグラー3,2928,dd,plus,chi2,33.64148326792722,0.2953915413439415,0.03522214285555484,2928,31,,
ヒロキ,ゴーゴージャグラー3,2928,dd_bin,diff,kruskal,0.40453571545416256,0.9821038692315833,0.0,2928,5,0.0,
ヒロキ,ゴーゴージャグラー3,2928,dd_bin,hit104,chi2,3.1076244004929032,0.5399790281387126,0.0,2928,5,,
ヒロキ,ゴーゴージャグラー3,2928,dd_bin,plus,chi2,0.8570139635020413,0.9306452170609592,0.0,2928,5,,
ヒロキ,ゴーゴージャグラー3,2928,is_x_day,diff,kruskal,0.30270914389870707,0.5821889945355354,0.0,2928,2,0.0,
ヒロキ,ゴーゴージャグラー3,2928,is_x_day,hit104,chi2,0.25787621908358516,0.6115829892772408,0.0,2928,2,,
ヒロキ,ゴーゴージャグラー3,2928,is_x_day,plus,chi2,2.6661255389587235,0.1025052884042314,0.023856020167001404,2928,2,,
ヒロキ,ジャグラーガールズ,1425,day_of_week,diff,kruskal,10.716209030344974,0.09755341246330977,0.003325958413501392,1425,7,0.0,
ヒロキ,ジャグラーガールズ,1425,day_of_week,hit104,chi2,4.137291459353597,0.658103208730606,0.0,1425,7,,
ヒロキ,ジャグラーガールズ,1425,day_of_week,plus,chi2,11.07873544866537,0.08597328698494508,0.05969564936734959,1425,7,,
ヒロキ,ジャグラーガールズ,1425,dd,diff,kruskal,22.587212197062275,0.8318419793258354,0.0,1425,31,0.0,
ヒロキ,ジャグラーガールズ,1425,dd,hit104,chi2,37.82048151587095,0.15441336773002323,0.07400756275141548,1425,31,,
ヒロキ,ジャグラーガールズ,1425,dd,plus,chi2,36.0594725001398,0.20613667616977174,0.0651187768612071,1425,31,,
