segment6,rank_basis,kakuban_group,weekday,n,all_weekday_mean_residual,weekday_mean_residual,weekday_specific_effect,t_stat,p_value,q_value,significant
2F_R_A,rank_from_min,K1,Thu,175,-39.23840635408661,-54.13333333333334,-14.894926979246666,-0.14927670355145795,0.8815081737693402,1.0,False
2F_R_A,rank_from_min,K1,Tue,178,-39.23840635408661,11.974986623863014,51.21339297794969,0.44050111899169203,0.6601116977298472,1.0,False
2F_R_A,rank_from_min,K1,Wed,183,-39.23840635408661,-31.195680457975534,8.04272589611111,0.07588146476925253,0.9395967495404237,1.0,False
2F_R_A,rank_from_min,K10-14,Fri,98,21.35898485468687,17.281341107871736,-4.077643746815167,-0.0242780241719219,0.9806807170479505,1.0,False
2F_R_A,rank_from_min,K10-14,Mon,100,21.35898485468687,85.40714285714286,64.04815800245598,0.3641379491201449,0.7165315626787727,1.0,False
2F_R_A,rank_from_min,K10-14,Sat,104,21.35898485468687,-114.9175824175824,-136.2765672722693,-0.7495119206501044,0.45525717708925295,1.0,False
2F_R_A,rank_from_min,K10-14,Sun,102,21.35898485468687,178.01820728291327,156.6592224282263,0.8173930803640639,0.4156278607460975,1.0,False
2F_R_A,rank_from_min,K10-14,Thu,99,21.35898485468687,19.18470418470414,-2.174280669982744,-0.014687756035371678,0.9883111479213943,1.0,False
2F_R_A,rank_from_min,K10-14,Tue,95,21.35898485468687,7.481203007518799,-13.87778184716808,-0.07457213822093674,0.9407136110019879,1.0,False
2F_R_A,rank_from_min,K10-14,Wed,100,21.35898485468687,-41.42142857142857,-62.780413426115445,-0.3970118320791809,0.6922133239812057,1.0,False
2F_R_A,rank_from_min,K15+,Sat,2,-441.2337662337662,1188.6363636363637,1629.8701298701299,31.180124223602498,0.020410490600424006,0.08164196240169602,False
2F_R_A,rank_from_min,K15+,Fri,3,-441.2337662337662,-1718.181818181818,-1276.9480519480521,-4.032929193148001,0.056337948361319105,0.22535179344527642,False
