hall,machine_name,event_type,n_event_days,n_normal_days,hit104_rate_event,hit104_rate_normal,hit104_gap,hit104_chi2_p,hit104_cramers_v,bottom3_rate_event,bottom3_rate_normal,bottom3_gap,bottom3_chi2_p,bottom3_cramers_v,note
蒲田7,シャーマンキング,is_any_event,570,606,34.91228070175438,35.64356435643564,-0.7312836546812562,0.7931140926797797,0.007647918118260743,0.7017543859649122,1.4851485148514851,0.7833941288865729,0.19910972613113528,0.03744488652581361,
蒲田7,シャーマンキング,is_weekend,333,843,38.13813813813814,34.16370106761566,3.9744370705224767,0.1987967450522394,0.03747098868643577,0.6006006006006006,1.3048635824436536,0.704262981843053,0.2980288896337217,0.030346543503804394,warning: 25.0% of expected cells are below 5
蒲田7,シャーマンキング,is_x_day,343,833,31.778425655976676,36.734693877551024,-4.956268221574348,0.10595735819550577,0.04714199802337713,1.1661807580174928,1.0804321728691477,-0.08574858514834505,0.8982821427446888,0.00372764881302171,warning: 25.0% of expected cells are below 5
蒲田7,タクトオーパス デスティニー,is_any_event,88,107,22.727272727272727,27.102803738317753,-4.375531011045027,0.4833142861152694,0.0501983593529836,1.1363636363636365,0.0,-1.1363636363636365,0.2689339035531965,0.07916800258660071,warning: 50.0% of expected cells are below 5
蒲田7,タクトオーパス デスティニー,is_weekend,52,143,26.923076923076923,24.475524475524477,2.4475524475524466,0.7274998080054402,0.024953256425297457,1.9230769230769231,0.0,-1.9230769230769231,0.09639635649858636,0.11905989136547523,warning: 50.0% of expected cells are below 5
蒲田7,タクトオーパス デスティニー,is_x_day,56,139,19.642857142857142,27.33812949640288,-7.695272353545736,0.2623289175334358,0.08026957080642351,0.0,0.7194244604316548,0.7194244604316548,0.5245416332670942,0.045570705109012864,warning: 50.0% of expected cells are below 5
蒲田7,バイオハザード RE:3,is_any_event,346,401,32.369942196531795,27.680798004987533,4.689144191544262,0.16255903687215983,0.05109586411974067,0.8670520231213872,0.24937655860349126,-0.6176754645178959,0.2487173271295432,0.042203277904140274,warning: 50.0% of expected cells are below 5
蒲田7,バイオハザード RE:3,is_weekend,208,539,32.69230769230769,28.7569573283859,3.935350363921792,0.292092848995527,0.03854707054841154,1.4423076923076923,0.1855287569573284,-1.256778935350364,0.034884146508880165,0.07718991105363388,warning: 50.0% of expected cells are below 5
蒲田7,バイオハザード RE:3,is_x_day,218,529,33.94495412844037,28.166351606805296,5.778602521635076,0.11664946447837991,0.05740646844262886,0.9174311926605505,0.3780718336483932,-0.5393593590121573,0.35847774595690896,0.03359772718839746,warning: 50.0% of expected cells are below 5
蒲田7,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,is_any_event,399,429,38.34586466165413,33.7995337995338,4.546330862120335,0.1732294321430229,0.04732929829884543,0.2506265664160401,0.2331002331002331,-0.017526333315806997,0.9590583206919285,0.0017840258352492075,warning: 50.0% of expected cells are below 5
