hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_dd,window1_range,window1_n,window1_p,window1_effect,window1_top_dd,n_common_dd_levels,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
レイトギャップ,ビッグドリーム THE GOLDEN PUSHER,plus,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=20 < 200; window1_n=0 < 200
レイトギャップ,ファンキージャグラー2,hit104,2026-04-02..2026-06-30,890,0.13154736191572336,0.09898900885413839,26.0,2026-01-02..2026-04-01,900,0.27553361638564744,0.06753212060472609,4.0,31,0.10449540947955908,0.5758667614130578,False,False,
レイトギャップ,ファンキージャグラー2,plus,2026-04-02..2026-06-30,890,0.098450740974935,0.10766969860120158,6.0,2026-01-02..2026-04-01,900,0.2986077182310432,0.06266574433573488,17.0,31,-0.003986948074566054,0.9830173523868104,False,False,
レイトギャップ,マイジャグラーV,hit104,2026-04-02..2026-06-30,438,0.5307140685665035,0.0,20.0,2026-01-02..2026-04-01,450,0.027021317154889226,0.19207584580026502,29.0,31,0.07703026263289603,0.6804313973128727,False,False,
レイトギャップ,マイジャグラーV,plus,2026-04-02..2026-06-30,438,0.20234339265973847,0.11822733571744874,31.0,2026-01-02..2026-04-01,450,0.019899975706478727,0.19975995183977446,25.0,31,-0.22399516129173674,0.22575473674875773,False,False,
レイトギャップ,マギアレコード 魔法少女まどか☆マギカ外伝,hit104,2026-04-02..2026-06-30,327,0.3845016560984474,0.06888705925098686,26.0,2026-01-02..2026-04-01,345,0.6329972033280654,0.0,12.0,31,0.2909535513065089,0.11229466673854363,False,False,
レイトギャップ,マギアレコード 魔法少女まどか☆マギカ外伝,plus,2026-04-02..2026-06-30,327,0.3362809995112045,0.08922119882533719,7.0,2026-01-02..2026-04-01,345,0.20126446346692403,0.1334187647228029,31.0,31,0.09300909568722127,0.6187286296401923,False,False,
レイトギャップ,マジカルハロウィン8,hit104,2026-03-11..2026-06-07,,,,,2025-12-10..2026-03-09,,,,,,,,False,False,skip: window0_n=74 < 200; window1_n=155 < 200
レイトギャップ,マジカルハロウィン8,plus,2026-03-11..2026-06-07,,,,,2025-12-10..2026-03-09,,,,,,,,False,False,skip: window0_n=74 < 200; window1_n=155 < 200
レイトギャップ,ミリオンゴッド‐神々の軌跡‐,hit104,2026-05-20..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 200
レイトギャップ,ミリオンゴッド‐神々の軌跡‐,plus,2026-05-20..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 200
レイトギャップ,モンキーターンV,hit104,2026-04-02..2026-06-30,1548,0.48501215390707564,0.0,31.0,2026-01-02..2026-04-01,1540,0.06739430996704908,0.08934230197395833,7.0,31,0.3320534159233599,0.06800189404708318,False,False,
レイトギャップ,モンキーターンV,plus,2026-04-02..2026-06-30,1548,0.3875000180820678,0.03172128491610485,17.0,2026-01-02..2026-04-01,1540,0.07674492858676893,0.08691019510015177,1.0,31,0.4502175116852822,0.01103967684658028,False,False,
レイトギャップ,モンスターハンターライズ,hit104,2026-04-02..2026-06-30,408,0.45515576822104825,0.018007829916326854,4.0,2026-01-02..2026-04-01,507,0.14128587727040737,0.1279035100961207,25.0,31,0.035515553719811535,0.8495632162098871,False,False,
レイトギャップ,モンスターハンターライズ,plus,2026-04-02..2026-06-30,408,0.285823309733697,0.09665367032895039,4.0,2026-01-02..2026-04-01,507,0.13750706968989868,0.12909973333622346,14.0,31,-0.07904579358691295,0.6725251687118682,False,False,
レイトギャップ,ヨルムンガンド,hit104,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=129 < 200; window1_n=0 < 200
レイトギャップ,ヨルムンガンド,plus,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=129 < 200; window1_n=0 < 200
レイトギャップ,ラブ嬢3～Wご指名はいかがですか?～,hit104,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=80 < 200; window1_n=82 < 200
レイトギャップ,ラブ嬢3～Wご指名はいかがですか?～,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=80 < 200; window1_n=82 < 200
レイトギャップ,七つの魔剣が支配する,hit104,2026-06-24..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=14 < 200; window1_n=0 < 200
レイトギャップ,七つの魔剣が支配する,plus,2026-06-24..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=14 < 200; window1_n=0 < 200
レイトギャップ,不二子BT,hit104,2026-04-01..2026-06-29,,,,,2026-01-21..2026-03-31,,,,,,,,False,False,skip: window0_n=86 < 200; window1_n=70 < 200
レイトギャップ,不二子BT,plus,2026-04-01..2026-06-29,,,,,2026-01-21..2026-03-31,,,,,,,,False,False,skip: window0_n=86 < 200; window1_n=70 < 200
レイトギャップ,主役は銭形5,hit104,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=149 < 200
レイトギャップ,主役は銭形5,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=149 < 200
レイトギャップ,化物語,hit104,2026-04-02..2026-06-30,458,0.231607061398107,0.10710385338129669,6.0,2026-01-07..2026-04-01,340,0.8898324330254753,0.0,3.0,31,0.12884041200349683,0.4897154231901614,False,False,
レイトギャップ,化物語,plus,2026-04-02..2026-06-30,458,0.2813678157461199,0.09262757761316262,6.0,2026-01-07..2026-04-01,340,0.7371681159655784,0.0,27.0,31,-0.13474120351698543,0.4698741832784415,False,False,
レイトギャップ,北斗の拳 転生の章2,hit104,2026-04-02..2026-06-30,1296,0.005380183302673134,0.13431077297467822,6.0,2026-02-04..2026-04-01,912,0.047840889459092296,0.12375504738304863,2.0,31,0.1396831225944492,0.4535868654228964,True,False,
レイトギャップ,北斗の拳 転生の章2,plus,2026-04-02..2026-06-30,1296,0.007231015293661766,0.1308887867248594,6.0,2026-02-04..2026-04-01,912,0.06726477173405043,0.11610497564143084,2.0,31,0.21491308406664647,0.2456250605258791,True,False,
レイトギャップ,吉宗,hit104,2026-04-02..2026-06-30,324,0.9089400942245791,0.0,17.0,2026-01-02..2026-04-01,331,0.1159826082566099,0.16839951665909283,7.0,31,0.05517174154514515,0.7681586388056671,False,False,
レイトギャップ,吉宗,plus,2026-04-02..2026-06-30,324,0.8526661580617505,0.0,31.0,2026-01-02..2026-04-01,331,0.12670198325253462,0.16390924436437623,7.0,31,0.19888316548980806,0.28345512754731733,False,False,
レイトギャップ,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,hit104,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=143 < 200; window1_n=86 < 200
レイトギャップ,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=143 < 200; window1_n=86 < 200
レイトギャップ,戦国乙女4 戦乱に閃く炯眼の軍師,hit104,2026-04-02..2026-06-30,306,0.028624298417201648,0.23099348409992426,5.0,2026-01-02..2026-04-01,414,0.1434198692554028,0.14071804882946512,18.0,31,-0.04048186218963033,0.8288166481793935,True,False,
レイトギャップ,戦国乙女4 戦乱に閃く炯眼の軍師,plus,2026-04-02..2026-06-30,306,0.013438441370457552,0.25327568524196703,5.0,2026-01-02..2026-04-01,414,0.04829754487129086,0.18323856446675194,29.0,31,0.022914064988928777,0.9026193419345422,True,False,
レイトギャップ,攻殻機動隊,hit104,2026-04-02..2026-06-30,,,,,2026-03-04..2026-04-01,,,,,,,,False,False,skip: window0_n=89 < 200; window1_n=29 < 200
レイトギャップ,攻殻機動隊,plus,2026-04-02..2026-06-30,,,,,2026-03-04..2026-04-01,,,,,,,,False,False,skip: window0_n=89 < 200; window1_n=29 < 200
レイトギャップ,新鬼武者3,hit104,2026-04-02..2026-06-30,434,0.30411408150062624,0.08812266398299456,24.0,2026-01-02..2026-04-01,495,0.9803683047036269,0.0,2.0,31,-0.04317810642171077,0.8175994602114711,False,False,
レイトギャップ,新鬼武者3,plus,2026-04-02..2026-06-30,434,0.2518533770294807,0.10397045268691632,1.0,2026-01-02..2026-04-01,495,0.8055383011855846,0.0,30.0,31,0.050329970727849664,0.7880219689534417,False,False,
レイトギャップ,東京リベンジャーズ,hit104,2026-04-02..2026-06-30,283,0.5461423572102468,0.0,15.0,2026-01-02..2026-04-01,344,0.19769672378702802,0.13482993102367188,2.0,31,0.06758822852589567,0.7179017413931779,False,False,
レイトギャップ,東京リベンジャーズ,plus,2026-04-02..2026-06-30,283,0.44634484402905816,0.031122310320287963,22.0,2026-01-02..2026-04-01,344,0.6154289587465305,0.0,30.0,31,-0.007824429458410243,0.9666781636789741,False,False,
レイトギャップ,東京喰種,hit104,2026-04-02..2026-06-30,1939,4.663810744972985e-05,0.1438715490741813,2.0,2026-01-02..2026-04-01,978,0.07900732862397983,0.10832339057613284,17.0,31,-0.10115631486431098,0.5881893050130846,True,False,
レイトギャップ,東京喰種,plus,2026-04-02..2026-06-30,1939,1.101964812451728e-06,0.1633919831813827,2.0,2026-01-02..2026-04-01,978,0.10142818701518921,0.10192178003869887,17.0,31,0.10295343034461296,0.5815429057583534,True,False,
レイトギャップ,機動戦士ガンダムユニコーン 覚醒DRIVE,hit104,2026-05-20..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=91 < 200; window1_n=0 < 200
レイトギャップ,機動戦士ガンダムユニコーン 覚醒DRIVE,plus,2026-05-20..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=91 < 200; window1_n=0 < 200
レイトギャップ,沖ドキ!BLACK,hit104,2026-04-02..2026-06-30,1230,0.4684020278296308,0.0,17.0,2026-01-02..2026-04-01,1091,0.6829192611265507,0.0,30.0,31,0.2025010125900854,0.2746077576107882,False,False,
レイトギャップ,沖ドキ!BLACK,plus,2026-04-02..2026-06-30,1230,0.5878309287241095,0.0,3.0,2026-01-02..2026-04-01,1091,0.8219954860473218,0.0,30.0,31,-0.12918857662920272,0.4885330039064857,False,False,
