hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_dd,window1_range,window1_n,window1_p,window1_effect,window1_top_dd,n_common_dd_levels,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
ARROW,スマスロ ハナビ,hit104,2026-04-01..2026-06-29,,,,,2026-03-04..2026-03-31,,,,,,,,False,False,skip: window1_n=140 < 200
ARROW,スマスロ ハナビ,plus,2026-04-01..2026-06-29,,,,,2026-03-04..2026-03-31,,,,,,,,False,False,skip: window1_n=140 < 200
ARROW,スマスロ北斗の拳,hit104,2026-04-01..2026-06-29,1201,0.026469043182749327,0.11796653223626732,24.0,2026-01-01..2026-03-31,1710,0.005265236958034078,0.11714259864635812,29.0,31,0.17768810969602367,0.33891603806879034,True,False,
ARROW,スマスロ北斗の拳,plus,2026-04-01..2026-06-29,1201,0.054007621441601004,0.10557135087336841,17.0,2026-01-01..2026-03-31,1710,0.009655902617983625,0.11089918816637816,29.0,31,0.1049339251685287,0.5742570893288428,False,False,
ARROW,スマスロ炎炎ノ消防隊2,hit104,2026-04-01..2026-06-29,,,,,2026-03-04..2026-03-31,,,,,,,,False,False,skip: window1_n=140 < 200
ARROW,スマスロ炎炎ノ消防隊2,plus,2026-04-01..2026-06-29,,,,,2026-03-04..2026-03-31,,,,,,,,False,False,skip: window1_n=140 < 200
ARROW,スマート沖スロ ニューキングハナハナV,hit104,2026-04-01..2026-06-29,412,0.9986143455963001,0.0,20.0,2026-02-04..2026-03-31,277,0.7482097762548883,0.0,3.0,31,-0.08641342429683259,0.6439205361801749,False,False,
ARROW,スマート沖スロ ニューキングハナハナV,plus,2026-04-01..2026-06-29,412,0.9646716314547017,0.0,7.0,2026-02-04..2026-03-31,277,0.5658151042086854,0.0,3.0,31,0.019126898694909147,0.9186559359579646,False,False,
ARROW,スーパービンゴネオ,hit104,2026-03-22..2026-06-19,,,,,2025-12-22..2026-03-21,,,,,,,,False,False,skip: window0_n=100 < 200; window1_n=169 < 200
ARROW,スーパービンゴネオ,plus,2026-03-22..2026-06-19,,,,,2025-12-22..2026-03-21,,,,,,,,False,False,skip: window0_n=100 < 200; window1_n=169 < 200
ARROW,スーパーブラックジャック,hit104,2026-04-01..2026-06-29,206,0.9675045711092428,0.0,1.0,2026-01-01..2026-03-31,267,0.3958428582303728,0.0696181627539535,7.0,30,0.08946158036579396,0.6382657620478909,False,False,
ARROW,スーパーブラックジャック,plus,2026-04-01..2026-06-29,206,0.6592351707447485,0.0,1.0,2026-01-01..2026-03-31,267,0.2238576095266358,0.142712483653771,22.0,30,0.03214252183859744,0.8660999361711318,False,False,
ARROW,スーパーリオエース2,hit104,2026-06-10..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window0_n=28 < 200; window1_n=0 < 200
ARROW,スーパーリオエース2,plus,2026-06-10..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window0_n=28 < 200; window1_n=0 < 200
