hall,weekday,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual,p_value,cohens_h,note,q_value,is_significant,weekday_event_coverage_rate,is_known_weekend_day,pooled_n,pooled_hit104_rate,pooled_diff,hall_overall_hit104_rate,hall_overall_diff,pooled_hit104_rate_vs_hall,pooled_diff_vs_hall
ヒロキ,日,113,48,65,0.4247787610619469,-0.3845509558534076,-1.1694024246325476,0.13192429082426047,-0.15101582934711155,,0.46173501788491167,False,1.0,True,19175,26.889178617992176,-32.44276401564537,27.244816271234157,-31.566748480289956,-0.35563765324198116,-0.8760155353554175
ヒロキ,月,113,58,55,0.5132743362831859,-0.28959319879578554,0.15397644160443846,0.8508699225134506,0.026551792281696907,,0.8508699225134506,False,0.0,False,15573,26.96975534579079,-38.067231747254866,27.244816271234157,-31.566748480289956,-0.27506092544336624,-6.50048326696491
ヒロキ,木,113,59,54,0.5221238938053098,0.16583669819526645,0.19038294168842285,0.7068822614919525,0.04426223889144776,,0.8246959717406114,False,0.0,False,14577,27.721753447211363,-21.664814433696918,27.244816271234157,-31.566748480289956,0.47693717597720564,9.901934046593038
ヒロキ,水,113,62,51,0.5486725663716814,0.17049035183086325,0.4003120762357639,0.34689310509533466,0.0974995336831419,,0.7907432201650483,False,0.0,False,14816,27.591792656587472,-21.606573974082075,27.244816271234157,-31.566748480289956,0.3469763853533152,9.960174506207881
ヒロキ,火,113,65,48,0.5752212389380531,1.2577658652071564,0.7587062102135569,0.13192429082426047,0.15101582934711133,,0.46173501788491167,False,0.0,False,14569,27.43496465097124,-33.322671425629764,27.244816271234157,-31.566748480289956,0.19014837973708154,-1.7559229453398082
ヒロキ,金,113,60,53,0.5309734513274337,0.5742529737150905,0.1335078873349005,0.5726564757939477,0.06198659059540845,,0.8017190661115268,False,0.0,False,15324,27.11433046202036,-51.969655442443226,27.244816271234157,-31.566748480289956,-0.13048580921379838,-20.40290696215327
ザシティ,土,69,29,40,0.42028985507246375,-0.8407586923016802,-0.8521303258145387,0.22840022535329702,-0.16010340485366203,,0.5329338591576931,False,1.0,True,8677,25.273712112481274,-138.35415466174945,25.218369862279623,-105.22106710965829,0.055342250201650955,-33.133087552091155
ザシティ,日,69,31,38,0.4492753623188406,-0.3530313573568676,-0.6086427267194168,0.47036853185814453,-0.10162410485142037,,0.6585159446014023,False,1.0,True,8605,25.543288785589773,-115.17652527600232,25.218369862279623,-105.22106710965829,0.3249189233101504,-9.95545816634403
ザシティ,月,69,33,36,0.4782608695652174,1.1619518868007357,-0.1400060394762086,0.8099490529189248,-0.04349197079011602,,0.8099490529189248,False,0.0,False,7768,25.437693099897015,-104.1813851699279,25.218369862279623,-105.22106710965829,0.2193232376173917,1.0396819397303858
ザシティ,木,69,40,29,0.5797101449275363,1.3474006948213335,0.5072700679686761,0.22840022535329702,0.1601034048536618,,0.5329338591576931,False,0.0,False,7576,25.514783526927136,-92.4635691657867,25.218369862279623,-105.22106710965829,0.2964136646475133,12.757497943871599
ザシティ,水,69,29,40,0.42028985507246375,-1.663420978159128,-1.3759019754449042,0.22840022535329702,-0.16010340485366203,,0.5329338591576931,False,0.0,False,7904,24.405364372469634,-97.06616902834008,25.218369862279623,-105.22106710965829,-0.8130054898099885,8.154898081318208
ザシティ,火,69,38,31,0.5507246376811594,-0.2887359192035408,0.19862021974277866,0.47036853185814453,0.10162410485141993,,0.6585159446014023,False,0.0,False,7748,25.245224574083636,-91.95469798657719,25.218369862279623,-105.22106710965829,0.02685471180401322,13.266369123081105
ザシティ,金,69,36,33,0.5217391304347826,1.118059293382233,0.2163567678948084,0.8099490529189248,0.043491970790115575,,0.8099490529189248,False,0.0,False,7705,25.08760545100584,-92.08786502271252,25.218369862279623,-105.22106710965829,-0.13076441127378402,13.133202086945772
金時,土,75,38,37,0.5066666666666667,-0.35988922691301894,0.027328004372478176,1.0,0.01333372842666991,,1.0,False,1.0,True,10319,30.21610621184223,-13.31563135962787,30.25325429506614,3.3236043863221565,-0.037148083223907946,-16.639235745950028
金時,日,75,30,45,0.4,-1.5677004168400912,-0.9385113268608443,0.10534226887460482,-0.20135792079033088,,0.43408004831192376,False,1.0,True,10445,29.813307802776446,-6.5235998085208236,30.25325429506614,3.3236043863221565,-0.4399464922896925,-9.84720419484298
金時,月,75,32,43,0.4266666666666667,-0.028407037281003415,-1.001589825119236,0.24804574189252784,-0.1471976499771872,,0.43408004831192376,False,0.0,False,9114,29.71253017335967,-3.650757077024358,30.25325429506614,3.3236043863221565,-0.540724121706468,-6.974361463346515
金時,木,75,43,32,0.5733333333333334,0.9311986144329732,0.41615817898590635,0.24804574189252784,0.14719764997718676,,0.43408004831192376,False,0.0,False,8974,30.733229329173167,23.658569199910854,30.25325429506614,3.3236043863221565,0.4799750341070279,20.334964813588698
金時,水,75,43,32,0.5733333333333334,1.164362903045095,0.8935826759245202,0.24804574189252784,0.14719764997718676,,0.43408004831192376,False,0.0,False,9213,30.50037989797026,6.913817431889721,30.25325429506614,3.3236043863221565,0.24712560290412,3.5902130455675647
金時,火,75,40,35,0.5333333333333333,0.8482215213675324,0.4059697714601711,0.6444639138942256,0.066716148410225,,0.9022494794519159,False,0.0,False,9001,30.47439173425175,-1.279635596044884,30.25325429506614,3.3236043863221565,0.22113743918561113,-4.6032399823670405
金時,金,75,37,38,0.49333333333333335,-0.2353661751581421,-0.052854122621564414,1.0,-0.013333728426670355,,1.0,False,0.0,False,9231,30.397573393998485,21.088722781930453,30.25325429506614,3.3236043863221565,0.14431909893234618,17.765118395608297
